name	gene	mrna	cds_count	strand	status	type	middle_point	center	chrom	start	end	width	candidate_exon	candidate_updown	cnvplex_format	critical_region_raw	critical_region_merge	cds	start_codon	stop_codon
8-NPHP1-2	NPHP1	NM_000272	20	-	two_cover	closest_CDS	110921956	110922202	chr2	110922097	110922307	211	8-NPHP1-2-candidate_CDS5,chr2:110927383-110927575;8-NPHP1-2-candidate_CDS12,chr2:110907759-110907833;8-NPHP1-2-candidate_CDS3,chr2:110937201-110937261;8-NPHP1-2-candidate_CDS11,chr2:110917704-110917832;8-NPHP1-2-candidate_CDS13,chr2:110905493-110905603;8-NPHP1-2-candidate_CDS6,chr2:110926029-110926130;8-NPHP1-2-candidate_CDS10,chr2:110919180-110919274;8-NPHP1-2-candidate_CDS14,chr2:110904330-110904412;8-NPHP1-2-candidate_CDS9,chr2:110920625-110920712;8-NPHP1-2-candidate_CDS15,chr2:110902070-110902146;8-NPHP1-2-candidate_CDS16,chr2:110901119-110901218;8-NPHP1-2-candidate_CDS17,chr2:110889256-110889368;8-NPHP1-2-candidate_CDS18,chr2:110886763-110886836;8-NPHP1-2-candidate_CDS2,chr2:110958998-110959071;8-NPHP1-2-candidate_CDS19,chr2:110883214-110883258;8-NPHP1-2-candidate_CDS7,chr2:110922629-110922732;8-NPHP1-2-candidate_CDS20,chr2:110881371-110881640;8-NPHP1-2-candidate_CDS1,chr2:110962477-110962545;8-NPHP1-2-candidate_CDS8,chr2:110922097-110922307	.	8-NPHP1-2,chr2:110922097-110922307	chr2:107312738-108403252,chr2:109298362-110381356,chr2:110895981-110964737	chr2:107312738-110964737	chr2:110962477-110962545,chr2:110958998-110959071,chr2:110937201-110937261,chr2:110936000-110936124,chr2:110927383-110927575,chr2:110926029-110926130,chr2:110922629-110922732,chr2:110922097-110922307,chr2:110920625-110920712,chr2:110919180-110919274,chr2:110917704-110917832,chr2:110907759-110907833,chr2:110905493-110905603,chr2:110904330-110904412,chr2:110902070-110902146,chr2:110901119-110901218,chr2:110889256-110889368,chr2:110886763-110886836,chr2:110883214-110883258,chr2:110881371-110881640	chr2:110962543-110962545	chr2:110881368-110881370
8-NPHP1-3	NPHP1	NM_000272	20	-	two_cover	stop_codon	110881368	110881368	chr2	110880368	110882368	2001	.	8-NPHP1-3-expand2K,chr2:110879368-110883368;8-NPHP1-3-expand5K,chr2:110876368-110886368	8-NPHP1-3,chr2:110880368-110882368	chr2:107312738-108403252,chr2:109298362-110381356,chr2:110895981-110964737	chr2:107312738-110964737	chr2:110962477-110962545,chr2:110958998-110959071,chr2:110937201-110937261,chr2:110936000-110936124,chr2:110927383-110927575,chr2:110926029-110926130,chr2:110922629-110922732,chr2:110922097-110922307,chr2:110920625-110920712,chr2:110919180-110919274,chr2:110917704-110917832,chr2:110907759-110907833,chr2:110905493-110905603,chr2:110904330-110904412,chr2:110902070-110902146,chr2:110901119-110901218,chr2:110889256-110889368,chr2:110886763-110886836,chr2:110883214-110883258,chr2:110881371-110881640	chr2:110962543-110962545	chr2:110881368-110881370
12-HDAC4-1	HDAC4	NM_006037	26	-	two_cover	start_codon	240274394	240274394	chr2	240273394	240275394	2001	.	12-HDAC4-1-expand2K,chr2:240272394-240276394;12-HDAC4-1-expand5K,chr2:240269394-240279394	12-HDAC4-1,chr2:240273394-240275394	chr2:242188710-242505322,chr2:239969863-240322643	chr2:239969863-242505322	chr2:240274373-240274394,chr2:240158289-240158360,chr2:240111529-240111773,chr2:240098109-240098259,chr2:240085499-240085619,chr2:240078348-240078469,chr2:240066279-240066410,chr2:240061380-240061492,chr2:240056223-240056339,chr2:240055941-240056139,chr2:240048152-240048375,chr2:240036749-240037006,chr2:240033222-240033408,chr2:240029746-240029879,chr2:240024472-240024592,chr2:240016706-240016752,chr2:240011705-240011812,chr2:240009255-240009310,chr2:240005851-240005938,chr2:240003798-240003917,chr2:240002791-240002888,chr2:239990185-239990303,chr2:239988418-239988551,chr2:239976445-239976529,chr2:239975156-239975297,chr2:239974796-239974832	chr2:240274392-240274394	chr2:239974793-239974795
12-HDAC4-2	HDAC4	NM_006037	26	-	two_cover	closest_CDS	240124593	240111651	chr2	240111529	240111773	245	12-HDAC4-2-candidate_CDS6,chr2:240085499-240085619;12-HDAC4-2-candidate_CDS5,chr2:240098109-240098259;12-HDAC4-2-candidate_CDS7,chr2:240078348-240078469;12-HDAC4-2-candidate_CDS8,chr2:240066279-240066410;12-HDAC4-2-candidate_CDS9,chr2:240061380-240061492;12-HDAC4-2-candidate_CDS10,chr2:240056223-240056339;12-HDAC4-2-candidate_CDS11,chr2:240055941-240056139;12-HDAC4-2-candidate_CDS12,chr2:240048152-240048375;12-HDAC4-2-candidate_CDS13,chr2:240036749-240037006;12-HDAC4-2-candidate_CDS14,chr2:240033222-240033408;12-HDAC4-2-candidate_CDS15,chr2:240029746-240029879;12-HDAC4-2-candidate_CDS16,chr2:240024472-240024592;12-HDAC4-2-candidate_CDS17,chr2:240016706-240016752;12-HDAC4-2-candidate_CDS18,chr2:240011705-240011812;12-HDAC4-2-candidate_CDS19,chr2:240009255-240009310;12-HDAC4-2-candidate_CDS20,chr2:240005851-240005938;12-HDAC4-2-candidate_CDS21,chr2:240003798-240003917;12-HDAC4-2-candidate_CDS22,chr2:240002791-240002888;12-HDAC4-2-candidate_CDS23,chr2:239990185-239990303;12-HDAC4-2-candidate_CDS24,chr2:239988418-239988551;12-HDAC4-2-candidate_CDS25,chr2:239976445-239976529;12-HDAC4-2-candidate_CDS26,chr2:239975156-239975297;12-HDAC4-2-candidate_CDS27,chr2:239974796-239974832;12-HDAC4-2-candidate_CDS2,chr2:240274373-240274394;12-HDAC4-2-candidate_CDS4,chr2:240111529-240111773	.	12-HDAC4-2,chr2:240111529-240111773	chr2:242188710-242505322,chr2:239969863-240322643	chr2:239969863-242505322	chr2:240274373-240274394,chr2:240158289-240158360,chr2:240111529-240111773,chr2:240098109-240098259,chr2:240085499-240085619,chr2:240078348-240078469,chr2:240066279-240066410,chr2:240061380-240061492,chr2:240056223-240056339,chr2:240055941-240056139,chr2:240048152-240048375,chr2:240036749-240037006,chr2:240033222-240033408,chr2:240029746-240029879,chr2:240024472-240024592,chr2:240016706-240016752,chr2:240011705-240011812,chr2:240009255-240009310,chr2:240005851-240005938,chr2:240003798-240003917,chr2:240002791-240002888,chr2:239990185-239990303,chr2:239988418-239988551,chr2:239976445-239976529,chr2:239975156-239975297,chr2:239974796-239974832	chr2:240274392-240274394	chr2:239974793-239974795
12-HDAC4-3	HDAC4	NM_006037	26	-	two_cover	stop_codon	239974793	239974793	chr2	239973793	239975793	2001	.	12-HDAC4-3-expand2K,chr2:239972793-239976793;12-HDAC4-3-expand5K,chr2:239969793-239979793	12-HDAC4-3,chr2:239973793-239975793	chr2:242188710-242505322,chr2:239969863-240322643	chr2:239969863-242505322	chr2:240274373-240274394,chr2:240158289-240158360,chr2:240111529-240111773,chr2:240098109-240098259,chr2:240085499-240085619,chr2:240078348-240078469,chr2:240066279-240066410,chr2:240061380-240061492,chr2:240056223-240056339,chr2:240055941-240056139,chr2:240048152-240048375,chr2:240036749-240037006,chr2:240033222-240033408,chr2:240029746-240029879,chr2:240024472-240024592,chr2:240016706-240016752,chr2:240011705-240011812,chr2:240009255-240009310,chr2:240005851-240005938,chr2:240003798-240003917,chr2:240002791-240002888,chr2:239990185-239990303,chr2:239988418-239988551,chr2:239976445-239976529,chr2:239975156-239975297,chr2:239974796-239974832	chr2:240274392-240274394	chr2:239974793-239974795
15-NSD2-1	NSD2	NM_133330	21	+	two_cover	start_codon	1902382	1902382	chr4	1901382	1903382	2001	.	15-NSD2-1-expand2K,chr4:1900382-1904382;15-NSD2-1-expand5K,chr4:1897382-1907382	15-NSD2-1,chr4:1901382-1903382	chr4:143413-1399150,chr4:1806405-2010761	chr4:143413-2010761	chr4:1902382-1902978,chr4:1905943-1906105,chr4:1918598-1918764,chr4:1919868-1920350,chr4:1932353-1932497,chr4:1936871-1936989,chr4:1940178-1940259,chr4:1941381-1941505,chr4:1952799-1952930,chr4:1953835-1953958,chr4:1955051-1955251,chr4:1956888-1957067,chr4:1957420-1957576,chr4:1957710-1957915,chr4:1959660-1959763,chr4:1961198-1961467,chr4:1962762-1962878,chr4:1976590-1976731,chr4:1977021-1977127,chr4:1978202-1978406,chr4:1980365-1980633	chr4:1902382-1902384	chr4:1980634-1980636
15-NSD2-2	NSD2	NM_133330	21	+	two_cover	closest_CDS	1941509	1941443	chr4	1941381	1941505	125	15-NSD2-2-candidate_CDS14,chr4:1955051-1955251;15-NSD2-2-candidate_CDS13,chr4:1953835-1953958;15-NSD2-2-candidate_CDS12,chr4:1952799-1952930;15-NSD2-2-candidate_CDS16,chr4:1957420-1957576;15-NSD2-2-candidate_CDS17,chr4:1957710-1957915;15-NSD2-2-candidate_CDS18,chr4:1959660-1959763;15-NSD2-2-candidate_CDS19,chr4:1961198-1961467;15-NSD2-2-candidate_CDS7,chr4:1919868-1920350;15-NSD2-2-candidate_CDS20,chr4:1962762-1962878;15-NSD2-2-candidate_CDS6,chr4:1918598-1918764;15-NSD2-2-candidate_CDS21,chr4:1976590-1976731;15-NSD2-2-candidate_CDS8,chr4:1932353-1932497;15-NSD2-2-candidate_CDS5,chr4:1905943-1906105;15-NSD2-2-candidate_CDS9,chr4:1936871-1936989;15-NSD2-2-candidate_CDS22,chr4:1977021-1977127;15-NSD2-2-candidate_CDS10,chr4:1940178-1940259;15-NSD2-2-candidate_CDS23,chr4:1978202-1978406;15-NSD2-2-candidate_CDS4,chr4:1902382-1902978;15-NSD2-2-candidate_CDS11,chr4:1941381-1941505;15-NSD2-2-candidate_CDS24,chr4:1980365-1980633	.	15-NSD2-2,chr4:1941381-1941505	chr4:143413-1399150,chr4:1806405-2010761	chr4:143413-2010761	chr4:1902382-1902978,chr4:1905943-1906105,chr4:1918598-1918764,chr4:1919868-1920350,chr4:1932353-1932497,chr4:1936871-1936989,chr4:1940178-1940259,chr4:1941381-1941505,chr4:1952799-1952930,chr4:1953835-1953958,chr4:1955051-1955251,chr4:1956888-1957067,chr4:1957420-1957576,chr4:1957710-1957915,chr4:1959660-1959763,chr4:1961198-1961467,chr4:1962762-1962878,chr4:1976590-1976731,chr4:1977021-1977127,chr4:1978202-1978406,chr4:1980365-1980633	chr4:1902382-1902384	chr4:1980634-1980636
15-NSD2-3	NSD2	NM_133330	21	+	two_cover	stop_codon	1980636	1980636	chr4	1979636	1981636	2001	.	15-NSD2-3-expand2K,chr4:1978636-1982636;15-NSD2-3-expand5K,chr4:1975636-1985636	15-NSD2-3,chr4:1979636-1981636	chr4:143413-1399150,chr4:1806405-2010761	chr4:143413-2010761	chr4:1902382-1902978,chr4:1905943-1906105,chr4:1918598-1918764,chr4:1919868-1920350,chr4:1932353-1932497,chr4:1936871-1936989,chr4:1940178-1940259,chr4:1941381-1941505,chr4:1952799-1952930,chr4:1953835-1953958,chr4:1955051-1955251,chr4:1956888-1957067,chr4:1957420-1957576,chr4:1957710-1957915,chr4:1959660-1959763,chr4:1961198-1961467,chr4:1962762-1962878,chr4:1976590-1976731,chr4:1977021-1977127,chr4:1978202-1978406,chr4:1980365-1980633	chr4:1902382-1902384	chr4:1980634-1980636
20-NSD1-1	NSD1	NM_022455	22	+	two_cover	start_codon	176562105	176562105	chr5	176561105	176563105	2001	.	20-NSD1-1-expand2K,chr5:176560105-176564105;20-NSD1-1-expand5K,chr5:176557105-176567105	20-NSD1-1,chr5:176561105-176563105	chr5:175890496-177013961	chr5:175890496-177013961	chr5:176562105-176563031,chr5:176618885-176619020,chr5:176631121-176631293,chr5:176636637-176639196,chr5:176662822-176662946,chr5:176665238-176665508,chr5:176666757-176666866,chr5:176671196-176671271,chr5:176673679-176673797,chr5:176675182-176675325,chr5:176678731-176678854,chr5:176683952-176684152,chr5:176686990-176687169,chr5:176694563-176694719,chr5:176696603-176696808,chr5:176700673-176700785,chr5:176707566-176707835,chr5:176709466-176709582,chr5:176710788-176710929,chr5:176715820-176715926,chr5:176718955-176719159,chr5:176720833-176722457	chr5:176562105-176562107	chr5:176722458-176722460
20-NSD1-2	NSD1	NM_022455	22	+	two_cover	closest_CDS	176642282	176637916	chr5	176636637	176639196	2560	20-NSD1-2-candidate_CDS6,chr5:176662822-176662946;20-NSD1-2-candidate_CDS3,chr5:176618885-176619020;20-NSD1-2-candidate_CDS8,chr5:176666757-176666866;20-NSD1-2-candidate_CDS4,chr5:176631121-176631293;20-NSD1-2-candidate_CDS9,chr5:176671196-176671271;20-NSD1-2-candidate_CDS10,chr5:176673679-176673797;20-NSD1-2-candidate_CDS11,chr5:176675182-176675325;20-NSD1-2-candidate_CDS12,chr5:176678731-176678854;20-NSD1-2-candidate_CDS13,chr5:176683952-176684152;20-NSD1-2-candidate_CDS14,chr5:176686990-176687169;20-NSD1-2-candidate_CDS15,chr5:176694563-176694719;20-NSD1-2-candidate_CDS16,chr5:176696603-176696808;20-NSD1-2-candidate_CDS17,chr5:176700673-176700785;20-NSD1-2-candidate_CDS18,chr5:176707566-176707835;20-NSD1-2-candidate_CDS19,chr5:176709466-176709582;20-NSD1-2-candidate_CDS20,chr5:176710788-176710929;20-NSD1-2-candidate_CDS21,chr5:176715820-176715926;20-NSD1-2-candidate_CDS22,chr5:176718955-176719159;20-NSD1-2-candidate_CDS23,chr5:176720833-176722457;20-NSD1-2-candidate_CDS2,chr5:176562105-176563031;20-NSD1-2-candidate_CDS5,chr5:176636637-176639196	.	20-NSD1-2,chr5:176636637-176639196	chr5:175890496-177013961	chr5:175890496-177013961	chr5:176562105-176563031,chr5:176618885-176619020,chr5:176631121-176631293,chr5:176636637-176639196,chr5:176662822-176662946,chr5:176665238-176665508,chr5:176666757-176666866,chr5:176671196-176671271,chr5:176673679-176673797,chr5:176675182-176675325,chr5:176678731-176678854,chr5:176683952-176684152,chr5:176686990-176687169,chr5:176694563-176694719,chr5:176696603-176696808,chr5:176700673-176700785,chr5:176707566-176707835,chr5:176709466-176709582,chr5:176710788-176710929,chr5:176715820-176715926,chr5:176718955-176719159,chr5:176720833-176722457	chr5:176562105-176562107	chr5:176722458-176722460
20-NSD1-3	NSD1	NM_022455	22	+	two_cover	stop_codon	176722460	176722460	chr5	176721460	176723460	2001	.	20-NSD1-3-expand2K,chr5:176720460-176724460;20-NSD1-3-expand5K,chr5:176717460-176727460	20-NSD1-3,chr5:176721460-176723460	chr5:175890496-177013961	chr5:175890496-177013961	chr5:176562105-176563031,chr5:176618885-176619020,chr5:176631121-176631293,chr5:176636637-176639196,chr5:176662822-176662946,chr5:176665238-176665508,chr5:176666757-176666866,chr5:176671196-176671271,chr5:176673679-176673797,chr5:176675182-176675325,chr5:176678731-176678854,chr5:176683952-176684152,chr5:176686990-176687169,chr5:176694563-176694719,chr5:176696603-176696808,chr5:176700673-176700785,chr5:176707566-176707835,chr5:176709466-176709582,chr5:176710788-176710929,chr5:176715820-176715926,chr5:176718955-176719159,chr5:176720833-176722457	chr5:176562105-176562107	chr5:176722458-176722460
22-DSP-1	DSP	NM_004415	24	+	inner_cover	demarcation_point	7578012	7578065	chr6	7578012	7578119	108	22-DSP-1-candidate_CDS22,chr6:7578697-7578795;22-DSP-1-candidate_CDS23,chr6:7579508-7581802	.	22-DSP-1,chr6:7578012-7578119	chr6:7578012-7581802	chr6:7578012-7581802	chr6:7542149-7542318,chr6:7555951-7556053,chr6:7558349-7558497,chr6:7559459-7559633,chr6:7562885-7563013,chr6:7563969-7564019,chr6:7565592-7565753,chr6:7566610-7566714,chr6:7567587-7567682,chr6:7568014-7568139,chr6:7568670-7568822,chr6:7569419-7569573,chr6:7570670-7570796,chr6:7571616-7571817,chr6:7572075-7572301,chr6:7574319-7574485,chr6:7574890-7575028,chr6:7575528-7575721,chr6:7576527-7576689,chr6:7577192-7577275,chr6:7578012-7578119,chr6:7578697-7578795,chr6:7579508-7581802,chr6:7582875-7586108	chr6:7542149-7542151	chr6:7586109-7586111
22-DSP-2	DSP	NM_004415	24	+	inner_cover	closest_CDS	7579907	7580655	chr6	7579508	7581802	2295	22-DSP-2-candidate_CDS22,chr6:7578697-7578795;22-DSP-2-candidate_CDS23,chr6:7579508-7581802	.	22-DSP-2,chr6:7579508-7581802	chr6:7578012-7581802	chr6:7578012-7581802	chr6:7542149-7542318,chr6:7555951-7556053,chr6:7558349-7558497,chr6:7559459-7559633,chr6:7562885-7563013,chr6:7563969-7564019,chr6:7565592-7565753,chr6:7566610-7566714,chr6:7567587-7567682,chr6:7568014-7568139,chr6:7568670-7568822,chr6:7569419-7569573,chr6:7570670-7570796,chr6:7571616-7571817,chr6:7572075-7572301,chr6:7574319-7574485,chr6:7574890-7575028,chr6:7575528-7575721,chr6:7576527-7576689,chr6:7577192-7577275,chr6:7578012-7578119,chr6:7578697-7578795,chr6:7579508-7581802,chr6:7582875-7586108	chr6:7542149-7542151	chr6:7586109-7586111
22-DSP-3	DSP	NM_004415	24	+	inner_cover	demarcation_point	7581802	7580655	chr6	7579508	7581802	2295	22-DSP-3-candidate_CDS22,chr6:7578697-7578795;22-DSP-3-candidate_CDS23,chr6:7579508-7581802	.	22-DSP-3,chr6:7579508-7581802	chr6:7578012-7581802	chr6:7578012-7581802	chr6:7542149-7542318,chr6:7555951-7556053,chr6:7558349-7558497,chr6:7559459-7559633,chr6:7562885-7563013,chr6:7563969-7564019,chr6:7565592-7565753,chr6:7566610-7566714,chr6:7567587-7567682,chr6:7568014-7568139,chr6:7568670-7568822,chr6:7569419-7569573,chr6:7570670-7570796,chr6:7571616-7571817,chr6:7572075-7572301,chr6:7574319-7574485,chr6:7574890-7575028,chr6:7575528-7575721,chr6:7576527-7576689,chr6:7577192-7577275,chr6:7578012-7578119,chr6:7578697-7578795,chr6:7579508-7581802,chr6:7582875-7586108	chr6:7542149-7542151	chr6:7586109-7586111
23-PLN-1	PLN	NM_002667	1	+	no_critical	start_codon	118880085	118880085	chr6	118879085	118881085	2001	.	23-PLN-1-expand2K,chr6:118878085-118882085;23-PLN-1-expand5K,chr6:118875085-118885085	23-PLN-1,chr6:118879085-118881085	.	.	chr6:118880085-118880240	chr6:118880085-118880087	chr6:118880241-118880243
23-PLN-2	PLN	NM_002667	1	+	no_critical	closest_CDS	118880164	118880162	chr6	118880085	118880240	156	.	.	23-PLN-2,chr6:118880085-118880240	.	.	chr6:118880085-118880240	chr6:118880085-118880087	chr6:118880241-118880243
23-PLN-3	PLN	NM_002667	1	+	no_critical	stop_codon	118880243	118880243	chr6	118879243	118881243	2001	.	23-PLN-3-expand2K,chr6:118878243-118882243;23-PLN-3-expand5K,chr6:118875243-118885243	23-PLN-3,chr6:118879243-118881243	.	.	chr6:118880085-118880240	chr6:118880085-118880087	chr6:118880241-118880243
26-SHFM1-1	SHFM1	NM_006304	3	-	two_cover	start_codon	96339075	96339075	chr7	96338075	96340075	2001	.	26-SHFM1-1-expand2K,chr7:96337075-96341075;26-SHFM1-1-expand5K,chr7:96334075-96344075	26-SHFM1-1,chr7:96338075-96340075	chr7:9631807-96339203	chr7:9631807-96339203	chr7:96339000-96339075,chr7:96324110-96324203,chr7:96318239-96318278	chr7:96339073-96339075	chr7:96318236-96318238
26-SHFM1-2	SHFM1	NM_006304	3	-	two_cover	closest_CDS	96328655	96324156	chr7	96324110	96324203	94	26-SHFM1-2-candidate_CDS2,chr7:96324110-96324203;26-SHFM1-2-candidate_CDS3,chr7:96318239-96318278	.	26-SHFM1-2,chr7:96324110-96324203	chr7:9631807-96339203	chr7:9631807-96339203	chr7:96339000-96339075,chr7:96324110-96324203,chr7:96318239-96318278	chr7:96339073-96339075	chr7:96318236-96318238
26-SHFM1-3	SHFM1	NM_006304	3	-	two_cover	stop_codon	96318236	96318236	chr7	96317236	96319236	2001	.	26-SHFM1-3-expand2K,chr7:96316236-96320236;26-SHFM1-3-expand5K,chr7:96313236-96323236	26-SHFM1-3,chr7:96317236-96319236	chr7:9631807-96339203	chr7:9631807-96339203	chr7:96339000-96339075,chr7:96324110-96324203,chr7:96318239-96318278	chr7:96339073-96339075	chr7:96318236-96318238
