gene	trans	chrom	start	end	strand	feature	feature_number
CREBBP	NM_004380	chr16	3790400	3790550	-	exon	24
CREBBP	NM_004380	chr16	3789579	3789725	-	exon	25
CREBBP	NM_004380	chr16	3788560	3788673	-	exon	26
CREBBP	NM_004380	chr16	3786651	3786816	-	exon	27
CREBBP	NM_004380	chr16	3786037	3786204	-	exon	28
CREBBP	NM_004380	chr16	3781777	3781938	-	exon	29
CREBBP	NM_004380	chr16	3781193	3781474	-	exon	30
CREBBP	NM_004380	chr16	3775055	3779875	-	exon	31
CREBBP	NM_004380	chr16	3929833	3929917	-	CDS	1
CREBBP	NM_004380	chr16	3900298	3901010	-	CDS	2
CREBBP	NM_004380	chr16	3860604	3860780	-	CDS	3
CREBBP	NM_004380	chr16	3843387	3843627	-	CDS	4
CREBBP	NM_004380	chr16	3841982	3842095	-	CDS	5
CREBBP	NM_004380	chr16	3832685	3832927	-	CDS	6
CREBBP	NM_004380	chr16	3831205	3831307	-	CDS	7
CREBBP	NM_004380	chr16	3830733	3830879	-	CDS	8
CREBBP	NM_004380	chr16	3828701	3828818	-	CDS	9
CREBBP	NM_004380	chr16	3828012	3828183	-	CDS	10
CREBBP	NM_004380	chr16	3827614	3827658	-	CDS	11
CREBBP	NM_004380	chr16	3824570	3824694	-	CDS	12
CREBBP	NM_004380	chr16	3823752	3823931	-	CDS	13
CREBBP	NM_004380	chr16	3820571	3820987	-	CDS	14
CREBBP	NM_004380	chr16	3819175	3819354	-	CDS	15
CREBBP	NM_004380	chr16	3817721	3817910	-	CDS	16
CREBBP	NM_004380	chr16	3808855	3808973	-	CDS	17
CREBBP	NM_004380	chr16	3807810	3808049	-	CDS	18
CREBBP	NM_004380	chr16	3807289	3807377	-	CDS	19
CREBBP	NM_004380	chr16	3801727	3801807	-	CDS	20
CREBBP	NM_004380	chr16	3799628	3799684	-	CDS	21
CREBBP	NM_004380	chr16	3795278	3795355	-	CDS	22
CREBBP	NM_004380	chr16	3794895	3794962	-	CDS	23
CREBBP	NM_004380	chr16	3790400	3790550	-	CDS	24
CREBBP	NM_004380	chr16	3789579	3789725	-	CDS	25
CREBBP	NM_004380	chr16	3788560	3788673	-	CDS	26
CREBBP	NM_004380	chr16	3786651	3786816	-	CDS	27
CREBBP	NM_004380	chr16	3786037	3786204	-	CDS	28
CREBBP	NM_004380	chr16	3781777	3781938	-	CDS	29
CREBBP	NM_004380	chr16	3781193	3781474	-	CDS	30
CREBBP	NM_004380	chr16	3777722	3779875	-	CDS	31
CREBBP	NM_004380	chr16	3929915	3929917	-	start_codon	1
CREBBP	NM_004380	chr16	3777719	3777721	-	stop_codon	31
DSP	NM_004415	chr6	7541904	7542318	+	exon	1
DSP	NM_004415	chr6	7555951	7556053	+	exon	2
DSP	NM_004415	chr6	7558349	7558497	+	exon	3
DSP	NM_004415	chr6	7559459	7559633	+	exon	4
DSP	NM_004415	chr6	7562885	7563013	+	exon	5
DSP	NM_004415	chr6	7563969	7564019	+	exon	6
DSP	NM_004415	chr6	7565592	7565753	+	exon	7
DSP	NM_004415	chr6	7566610	7566714	+	exon	8
DSP	NM_004415	chr6	7567587	7567682	+	exon	9
DSP	NM_004415	chr6	7568014	7568139	+	exon	10
DSP	NM_004415	chr6	7568670	7568822	+	exon	11
DSP	NM_004415	chr6	7569419	7569573	+	exon	12
DSP	NM_004415	chr6	7570670	7570796	+	exon	13
DSP	NM_004415	chr6	7571616	7571817	+	exon	14
DSP	NM_004415	chr6	7572075	7572301	+	exon	15
DSP	NM_004415	chr6	7574319	7574485	+	exon	16
DSP	NM_004415	chr6	7574890	7575028	+	exon	17
DSP	NM_004415	chr6	7575528	7575721	+	exon	18
DSP	NM_004415	chr6	7576527	7576689	+	exon	19
DSP	NM_004415	chr6	7577192	7577275	+	exon	20
DSP	NM_004415	chr6	7578012	7578119	+	exon	21
DSP	NM_004415	chr6	7578697	7578795	+	exon	22
DSP	NM_004415	chr6	7579508	7581802	+	exon	23
DSP	NM_004415	chr6	7582875	7586947	+	exon	24
DSP	NM_004415	chr6	7542149	7542318	+	CDS	1
DSP	NM_004415	chr6	7555951	7556053	+	CDS	2
DSP	NM_004415	chr6	7558349	7558497	+	CDS	3
DSP	NM_004415	chr6	7559459	7559633	+	CDS	4
DSP	NM_004415	chr6	7562885	7563013	+	CDS	5
DSP	NM_004415	chr6	7563969	7564019	+	CDS	6
DSP	NM_004415	chr6	7565592	7565753	+	CDS	7
DSP	NM_004415	chr6	7566610	7566714	+	CDS	8
DSP	NM_004415	chr6	7567587	7567682	+	CDS	9
DSP	NM_004415	chr6	7568014	7568139	+	CDS	10
DSP	NM_004415	chr6	7568670	7568822	+	CDS	11
DSP	NM_004415	chr6	7569419	7569573	+	CDS	12
DSP	NM_004415	chr6	7570670	7570796	+	CDS	13
DSP	NM_004415	chr6	7571616	7571817	+	CDS	14
DSP	NM_004415	chr6	7572075	7572301	+	CDS	15
DSP	NM_004415	chr6	7574319	7574485	+	CDS	16
DSP	NM_004415	chr6	7574890	7575028	+	CDS	17
DSP	NM_004415	chr6	7575528	7575721	+	CDS	18
DSP	NM_004415	chr6	7576527	7576689	+	CDS	19
DSP	NM_004415	chr6	7577192	7577275	+	CDS	20
DSP	NM_004415	chr6	7578012	7578119	+	CDS	21
DSP	NM_004415	chr6	7578697	7578795	+	CDS	22
DSP	NM_004415	chr6	7579508	7581802	+	CDS	23
DSP	NM_004415	chr6	7582875	7586108	+	CDS	24
DSP	NM_004415	chr6	7542149	7542151	+	start_codon	1
DSP	NM_004415	chr6	7586109	7586111	+	stop_codon	24
EEF2K	NM_013302	chr16	22217599	22218000	+	exon	1
EEF2K	NM_013302	chr16	22236975	22237296	+	exon	2
EEF2K	NM_013302	chr16	22255951	22256051	+	exon	3
EEF2K	NM_013302	chr16	22260076	22260136	+	exon	4
EEF2K	NM_013302	chr16	22261975	22262012	+	exon	5
EEF2K	NM_013302	chr16	22262472	22262643	+	exon	6
EEF2K	NM_013302	chr16	22268069	22268218	+	exon	7
EEF2K	NM_013302	chr16	22268574	22268706	+	exon	8
EEF2K	NM_013302	chr16	22268964	22269091	+	exon	9
EEF2K	NM_013302	chr16	22269815	22270016	+	exon	10
EEF2K	NM_013302	chr16	22271783	22271850	+	exon	11
EEF2K	NM_013302	chr16	22274431	22274508	+	exon	12
EEF2K	NM_013302	chr16	22276139	22276201	+	exon	13
EEF2K	NM_013302	chr16	22277711	22277845	+	exon	14
EEF2K	NM_013302	chr16	22278009	22278197	+	exon	15
EEF2K	NM_013302	chr16	22284947	22285071	+	exon	16
EEF2K	NM_013302	chr16	22291519	22291697	+	exon	17
EEF2K	NM_013302	chr16	22295208	22300059	+	exon	18
EEF2K	NM_013302	chr16	22237051	22237296	+	CDS	2
EEF2K	NM_013302	chr16	22255951	22256051	+	CDS	3
EEF2K	NM_013302	chr16	22260076	22260136	+	CDS	4
EEF2K	NM_013302	chr16	22261975	22262012	+	CDS	5
EEF2K	NM_013302	chr16	22262472	22262643	+	CDS	6
EEF2K	NM_013302	chr16	22268069	22268218	+	CDS	7
EEF2K	NM_013302	chr16	22268574	22268706	+	CDS	8
EEF2K	NM_013302	chr16	22268964	22269091	+	CDS	9
EEF2K	NM_013302	chr16	22269815	22270016	+	CDS	10
EEF2K	NM_013302	chr16	22271783	22271850	+	CDS	11
EEF2K	NM_013302	chr16	22274431	22274508	+	CDS	12
EEF2K	NM_013302	chr16	22276139	22276201	+	CDS	13
EEF2K	NM_013302	chr16	22277711	22277845	+	CDS	14
EEF2K	NM_013302	chr16	22278009	22278197	+	CDS	15
EEF2K	NM_013302	chr16	22284947	22285071	+	CDS	16
EEF2K	NM_013302	chr16	22291519	22291697	+	CDS	17
EEF2K	NM_013302	chr16	22295208	22295314	+	CDS	18
EEF2K	NM_013302	chr16	22237051	22237053	+	start_codon	2
EEF2K	NM_013302	chr16	22295315	22295317	+	stop_codon	18
EHMT1	NM_024757	chr9	140513457	140513501	+	exon	1
EHMT1	NM_024757	chr9	140605419	140605482	+	exon	2
EHMT1	NM_024757	chr9	140611078	140611634	+	exon	3
EHMT1	NM_024757	chr9	140622801	140622981	+	exon	4
EHMT1	NM_024757	chr9	140637823	140637980	+	exon	5
EHMT1	NM_024757	chr9	140638354	140638542	+	exon	6
EHMT1	NM_024757	chr9	140646783	140646860	+	exon	7
EHMT1	NM_024757	chr9	140648623	140648743	+	exon	8
EHMT1	NM_024757	chr9	140652332	140652463	+	exon	9
EHMT1	NM_024757	chr9	140657127	140657272	+	exon	10
EHMT1	NM_024757	chr9	140669561	140669704	+	exon	11
EHMT1	NM_024757	chr9	140671070	140671296	+	exon	12
EHMT1	NM_024757	chr9	140672334	140672507	+	exon	13
EHMT1	NM_024757	chr9	140674087	140674169	+	exon	14
EHMT1	NM_024757	chr9	140676743	140676849	+	exon	15
EHMT1	NM_024757	chr9	140685300	140685422	+	exon	16
EHMT1	NM_024757	chr9	140693265	140693366	+	exon	17
EHMT1	NM_024757	chr9	140695332	140695436	+	exon	18
EHMT1	NM_024757	chr9	140705913	140706067	+	exon	19
EHMT1	NM_024757	chr9	140707458	140707625	+	exon	20
EHMT1	NM_024757	chr9	140707838	140707982	+	exon	21
EHMT1	NM_024757	chr9	140708883	140708960	+	exon	22
EHMT1	NM_024757	chr9	140710399	140710514	+	exon	23
EHMT1	NM_024757	chr9	140711891	140711977	+	exon	24
EHMT1	NM_024757	chr9	140712512	140712590	+	exon	25
EHMT1	NM_024757	chr9	140728801	140728976	+	exon	26
EHMT1	NM_024757	chr9	140729225	140730579	+	exon	27
EHMT1	NM_024757	chr9	140513481	140513501	+	CDS	1
EHMT1	NM_024757	chr9	140605419	140605482	+	CDS	2
EHMT1	NM_024757	chr9	140611078	140611634	+	CDS	3
EHMT1	NM_024757	chr9	140622801	140622981	+	CDS	4
EHMT1	NM_024757	chr9	140637823	140637980	+	CDS	5
EHMT1	NM_024757	chr9	140638354	140638542	+	CDS	6
EHMT1	NM_024757	chr9	140646783	140646860	+	CDS	7
EHMT1	NM_024757	chr9	140648623	140648743	+	CDS	8
EHMT1	NM_024757	chr9	140652332	140652463	+	CDS	9
EHMT1	NM_024757	chr9	140657127	140657272	+	CDS	10
EHMT1	NM_024757	chr9	140669561	140669704	+	CDS	11
EHMT1	NM_024757	chr9	140671070	140671296	+	CDS	12
EHMT1	NM_024757	chr9	140672334	140672507	+	CDS	13
EHMT1	NM_024757	chr9	140674087	140674169	+	CDS	14
EHMT1	NM_024757	chr9	140676743	140676849	+	CDS	15
EHMT1	NM_024757	chr9	140685300	140685422	+	CDS	16
EHMT1	NM_024757	chr9	140693265	140693366	+	CDS	17
EHMT1	NM_024757	chr9	140695332	140695436	+	CDS	18
EHMT1	NM_024757	chr9	140705913	140706067	+	CDS	19
EHMT1	NM_024757	chr9	140707458	140707625	+	CDS	20
EHMT1	NM_024757	chr9	140707838	140707982	+	CDS	21
EHMT1	NM_024757	chr9	140708883	140708960	+	CDS	22
EHMT1	NM_024757	chr9	140710399	140710514	+	CDS	23
EHMT1	NM_024757	chr9	140711891	140711977	+	CDS	24
EHMT1	NM_024757	chr9	140712512	140712590	+	CDS	25
EHMT1	NM_024757	chr9	140728801	140728976	+	CDS	26
EHMT1	NM_024757	chr9	140729225	140729402	+	CDS	27
EHMT1	NM_024757	chr9	140513481	140513483	+	start_codon	1
EHMT1	NM_024757	chr9	140729403	140729405	+	stop_codon	27
GJA5	NM_005266	chr1	147245356	147245455	-	exon	1
GJA5	NM_005266	chr1	147228332	147231379	-	exon	2
GJA5	NM_005266	chr1	147230273	147231346	-	CDS	2
GJA5	NM_005266	chr1	147231344	147231346	-	start_codon	2
GJA5	NM_005266	chr1	147230270	147230272	-	stop_codon	2
HDAC4	NM_006037	chr2	240322071	240322714	-	exon	1
HDAC4	NM_006037	chr2	240274373	240274613	-	exon	2
HDAC4	NM_006037	chr2	240158289	240158360	-	exon	3
HDAC4	NM_006037	chr2	240111529	240111773	-	exon	4
HDAC4	NM_006037	chr2	240098109	240098259	-	exon	5
HDAC4	NM_006037	chr2	240085499	240085619	-	exon	6
HDAC4	NM_006037	chr2	240078348	240078469	-	exon	7
HDAC4	NM_006037	chr2	240066279	240066410	-	exon	8
HDAC4	NM_006037	chr2	240061380	240061492	-	exon	9
HDAC4	NM_006037	chr2	240056223	240056339	-	exon	10
HDAC4	NM_006037	chr2	240055941	240056139	-	exon	11
HDAC4	NM_006037	chr2	240048152	240048375	-	exon	12
HDAC4	NM_006037	chr2	240036749	240037006	-	exon	13
HDAC4	NM_006037	chr2	240033222	240033408	-	exon	14
HDAC4	NM_006037	chr2	240029746	240029879	-	exon	15
HDAC4	NM_006037	chr2	240024472	240024592	-	exon	16
HDAC4	NM_006037	chr2	240016706	240016752	-	exon	17
HDAC4	NM_006037	chr2	240011705	240011812	-	exon	18
HDAC4	NM_006037	chr2	240009255	240009310	-	exon	19
HDAC4	NM_006037	chr2	240005851	240005938	-	exon	20
HDAC4	NM_006037	chr2	240003798	240003917	-	exon	21
HDAC4	NM_006037	chr2	240002791	240002888	-	exon	22
HDAC4	NM_006037	chr2	239990185	239990303	-	exon	23
HDAC4	NM_006037	chr2	239988418	239988551	-	exon	24
HDAC4	NM_006037	chr2	239976445	239976529	-	exon	25
HDAC4	NM_006037	chr2	239975156	239975297	-	exon	26
HDAC4	NM_006037	chr2	239969864	239974832	-	exon	27
HDAC4	NM_006037	chr2	240274373	240274394	-	CDS	2
HDAC4	NM_006037	chr2	240158289	240158360	-	CDS	3
HDAC4	NM_006037	chr2	240111529	240111773	-	CDS	4
HDAC4	NM_006037	chr2	240098109	240098259	-	CDS	5
HDAC4	NM_006037	chr2	240085499	240085619	-	CDS	6
HDAC4	NM_006037	chr2	240078348	240078469	-	CDS	7
HDAC4	NM_006037	chr2	240066279	240066410	-	CDS	8
HDAC4	NM_006037	chr2	240061380	240061492	-	CDS	9
HDAC4	NM_006037	chr2	240056223	240056339	-	CDS	10
HDAC4	NM_006037	chr2	240055941	240056139	-	CDS	11
HDAC4	NM_006037	chr2	240048152	240048375	-	CDS	12
HDAC4	NM_006037	chr2	240036749	240037006	-	CDS	13
HDAC4	NM_006037	chr2	240033222	240033408	-	CDS	14
HDAC4	NM_006037	chr2	240029746	240029879	-	CDS	15
HDAC4	NM_006037	chr2	240024472	240024592	-	CDS	16
HDAC4	NM_006037	chr2	240016706	240016752	-	CDS	17
HDAC4	NM_006037	chr2	240011705	240011812	-	CDS	18
HDAC4	NM_006037	chr2	240009255	240009310	-	CDS	19
HDAC4	NM_006037	chr2	240005851	240005938	-	CDS	20
HDAC4	NM_006037	chr2	240003798	240003917	-	CDS	21
HDAC4	NM_006037	chr2	240002791	240002888	-	CDS	22
HDAC4	NM_006037	chr2	239990185	239990303	-	CDS	23
HDAC4	NM_006037	chr2	239988418	239988551	-	CDS	24
HDAC4	NM_006037	chr2	239976445	239976529	-	CDS	25
HDAC4	NM_006037	chr2	239975156	239975297	-	CDS	26
HDAC4	NM_006037	chr2	239974796	239974832	-	CDS	27
HDAC4	NM_006037	chr2	240274392	240274394	-	start_codon	2
HDAC4	NM_006037	chr2	239974793	239974795	-	stop_codon	27
HNF1B	NM_000458	chr17	36104532	36105050	-	exon	1
HNF1B	NM_000458	chr17	36099431	36099630	-	exon	2
HNF1B	NM_000458	chr17	36093550	36093814	-	exon	3
HNF1B	NM_000458	chr17	36091586	36091821	-	exon	4
HNF1B	NM_000458	chr17	36070511	36070671	-	exon	5
HNF1B	NM_000458	chr17	36064924	36065056	-	exon	6
HNF1B	NM_000458	chr17	36060988	36061182	-	exon	7
HNF1B	NM_000458	chr17	36059082	36059200	-	exon	8
HNF1B	NM_000458	chr17	36046434	36047395	-	exon	9
HNF1B	NM_000458	chr17	36104532	36104875	-	CDS	1
HNF1B	NM_000458	chr17	36099431	36099630	-	CDS	2
HNF1B	NM_000458	chr17	36093550	36093814	-	CDS	3
HNF1B	NM_000458	chr17	36091586	36091821	-	CDS	4
HNF1B	NM_000458	chr17	36070511	36070671	-	CDS	5
HNF1B	NM_000458	chr17	36064924	36065056	-	CDS	6
HNF1B	NM_000458	chr17	36060988	36061182	-	CDS	7
HNF1B	NM_000458	chr17	36059082	36059200	-	CDS	8
HNF1B	NM_000458	chr17	36047378	36047395	-	CDS	9
HNF1B	NM_000458	chr17	36104873	36104875	-	start_codon	1
HNF1B	NM_000458	chr17	36047375	36047377	-	stop_codon	9
HUWE1	NM_031407	chrX	53713533	53713664	-	exon	1
HUWE1	NM_031407	chrX	53713215	53713313	-	exon	2
HUWE1	NM_031407	chrX	53707002	53707139	-	exon	3
HUWE1	NM_031407	chrX	53681007	53681075	-	exon	4
HUWE1	NM_031407	chrX	53675155	53675253	-	exon	5
HUWE1	NM_031407	chrX	53674311	53674517	-	exon	6
HUWE1	NM_031407	chrX	53672263	53672415	-	exon	7
HUWE1	NM_031407	chrX	53661188	53661250	-	exon	8
HUWE1	NM_031407	chrX	53659439	53659516	-	exon	9
HUWE1	NM_031407	chrX	53658519	53658566	-	exon	10
HUWE1	NM_031407	chrX	53658366	53658434	-	exon	11
HUWE1	NM_031407	chrX	53657887	53657986	-	exon	12
HUWE1	NM_031407	chrX	53656467	53656567	-	exon	13
HUWE1	NM_031407	chrX	53655703	53655853	-	exon	14
HUWE1	NM_031407	chrX	53655444	53655571	-	exon	15
HUWE1	NM_031407	chrX	53654690	53654830	-	exon	16
HUWE1	NM_031407	chrX	53654361	53654466	-	exon	17
HUWE1	NM_031407	chrX	53652118	53652219	-	exon	18
HUWE1	NM_031407	chrX	53651556	53651636	-	exon	19
HUWE1	NM_031407	chrX	53644301	53644407	-	exon	20
HUWE1	NM_031407	chrX	53643931	53644108	-	exon	21
HUWE1	NM_031407	chrX	53642705	53642796	-	exon	22
HUWE1	NM_031407	chrX	53641495	53641706	-	exon	23
HUWE1	NM_031407	chrX	53635813	53635870	-	exon	24
HUWE1	NM_031407	chrX	53634484	53634660	-	exon	25
HUWE1	NM_031407	chrX	53631550	53631795	-	exon	26
HUWE1	NM_031407	chrX	53630329	53630462	-	exon	27
HUWE1	NM_031407	chrX	53629525	53629619	-	exon	28
HUWE1	NM_031407	chrX	53627078	53627269	-	exon	29
HUWE1	NM_031407	chrX	53622147	53622363	-	exon	30
HUWE1	NM_031407	chrX	53621459	53621581	-	exon	31
HUWE1	NM_031407	chrX	53620324	53620561	-	exon	32
HUWE1	NM_031407	chrX	53619358	53619588	-	exon	33
HUWE1	NM_031407	chrX	53617960	53618082	-	exon	34
HUWE1	NM_031407	chrX	53617364	53617459	-	exon	35
HUWE1	NM_031407	chrX	53616507	53616776	-	exon	36
HUWE1	NM_031407	chrX	53615342	53615494	-	exon	37
HUWE1	NM_031407	chrX	53613742	53613869	-	exon	38
HUWE1	NM_031407	chrX	53613450	53613531	-	exon	39
HUWE1	NM_031407	chrX	53611972	53612148	-	exon	40
HUWE1	NM_031407	chrX	53611146	53611305	-	exon	41
HUWE1	NM_031407	chrX	53610518	53610876	-	exon	42
HUWE1	NM_031407	chrX	53607791	53607986	-	exon	43
HUWE1	NM_031407	chrX	53603860	53604027	-	exon	44
HUWE1	NM_031407	chrX	53602603	53602748	-	exon	45
HUWE1	NM_031407	chrX	53602115	53602181	-	exon	46
HUWE1	NM_031407	chrX	53600710	53600924	-	exon	47
HUWE1	NM_031407	chrX	53596576	53596787	-	exon	48
HUWE1	NM_031407	chrX	53595652	53595834	-	exon	49
HUWE1	NM_031407	chrX	53592028	53592200	-	exon	50
HUWE1	NM_031407	chrX	53591535	53591683	-	exon	51
HUWE1	NM_031407	chrX	53590707	53590782	-	exon	52
HUWE1	NM_031407	chrX	53589792	53589890	-	exon	53
HUWE1	NM_031407	chrX	53589072	53589205	-	exon	54
HUWE1	NM_031407	chrX	53588717	53588885	-	exon	55
HUWE1	NM_031407	chrX	53587149	53587377	-	exon	56
HUWE1	NM_031407	chrX	53586315	53586493	-	exon	57
HUWE1	NM_031407	chrX	53585932	53586021	-	exon	58
HUWE1	NM_031407	chrX	53585616	53585770	-	exon	59
HUWE1	NM_031407	chrX	53584343	53584388	-	exon	60
HUWE1	NM_031407	chrX	53581594	53581881	-	exon	61
HUWE1	NM_031407	chrX	53579599	53579854	-	exon	62
HUWE1	NM_031407	chrX	53579272	53579402	-	exon	63
HUWE1	NM_031407	chrX	53578227	53578441	-	exon	64
HUWE1	NM_031407	chrX	53577862	53578150	-	exon	65
HUWE1	NM_031407	chrX	53577627	53577729	-	exon	66
HUWE1	NM_031407	chrX	53575920	53576466	-	exon	67
HUWE1	NM_031407	chrX	53574634	53575234	-	exon	68
HUWE1	NM_031407	chrX	53573665	53573786	-	exon	69
HUWE1	NM_031407	chrX	53573397	53573553	-	exon	70
HUWE1	NM_031407	chrX	53571990	53572122	-	exon	71
HUWE1	NM_031407	chrX	53571521	53571723	-	exon	72
HUWE1	NM_031407	chrX	53570802	53570929	-	exon	73
HUWE1	NM_031407	chrX	53569404	53569500	-	exon	74
HUWE1	NM_031407	chrX	53566618	53566773	-	exon	75
HUWE1	NM_031407	chrX	53565796	53566041	-	exon	76
HUWE1	NM_031407	chrX	53565298	53565415	-	exon	77
HUWE1	NM_031407	chrX	53564517	53564657	-	exon	78
HUWE1	NM_031407	chrX	53563341	53563628	-	exon	79
HUWE1	NM_031407	chrX	53563108	53563213	-	exon	80
HUWE1	NM_031407	chrX	53562345	53562462	-	exon	81
HUWE1	NM_031407	chrX	53561477	53561658	-	exon	82
HUWE1	NM_031407	chrX	53560968	53561158	-	exon	83
HUWE1	NM_031407	chrX	53559057	53560372	-	exon	84
HUWE1	NM_031407	chrX	53681007	53681051	-	CDS	4
HUWE1	NM_031407	chrX	53675155	53675253	-	CDS	5
HUWE1	NM_031407	chrX	53674311	53674517	-	CDS	6
HUWE1	NM_031407	chrX	53672263	53672415	-	CDS	7
HUWE1	NM_031407	chrX	53661188	53661250	-	CDS	8
HUWE1	NM_031407	chrX	53659439	53659516	-	CDS	9
HUWE1	NM_031407	chrX	53658519	53658566	-	CDS	10
HUWE1	NM_031407	chrX	53658366	53658434	-	CDS	11
HUWE1	NM_031407	chrX	53657887	53657986	-	CDS	12
HUWE1	NM_031407	chrX	53656467	53656567	-	CDS	13
HUWE1	NM_031407	chrX	53655703	53655853	-	CDS	14
HUWE1	NM_031407	chrX	53655444	53655571	-	CDS	15
HUWE1	NM_031407	chrX	53654690	53654830	-	CDS	16
HUWE1	NM_031407	chrX	53654361	53654466	-	CDS	17
HUWE1	NM_031407	chrX	53652118	53652219	-	CDS	18
HUWE1	NM_031407	chrX	53651556	53651636	-	CDS	19
HUWE1	NM_031407	chrX	53644301	53644407	-	CDS	20
HUWE1	NM_031407	chrX	53643931	53644108	-	CDS	21
HUWE1	NM_031407	chrX	53642705	53642796	-	CDS	22
HUWE1	NM_031407	chrX	53641495	53641706	-	CDS	23
HUWE1	NM_031407	chrX	53635813	53635870	-	CDS	24
HUWE1	NM_031407	chrX	53634484	53634660	-	CDS	25
