大区	区域	Critical Region(s)	核心区关键基因	Chr	L-REGION50	L-REGION75	REGION90-P1	REGION90-P2	R-REGION75	R-REGION50	REGION90 Sample Number
6	2CNV04	51088055-51226229		2	50847100	50850691	50,850,691	50,982,113	50982172	51083469	5
6	2CNV04			2	50725729	50818355	50,818,355	51,122,150	51122150	51158300	5
6	2CNV04	51260553-51314430		2	51078393	51083410	51,088,055	51,226,229	51226229	51257067	11
6	2CNV04			2	50956269	50978466	51,037,104	51,314,430	51382872	51446873	10
6	2CNV04	50,850,691-50892906	NRXN1	2	51193626	51226170	51,237,000	51,314,430	51314430	51382813	5
6	2CNV04			2	51189339	51260553	51,260,553	51,540,487	51540487	51640875	5
7	2CNV05	96,779,631-97,695,409		2	96739308	96739693	96,779,631	97,695,409	98013866	98021592	
8	2CNV06	107,312,738-108,403,252	NPHP1	2	106878061	106878061	107,312,738	108,403,252	108439772	108439772	
8	2CNV06	109,298,362-110,381,356	NPHP1	2	109195457	109210529	109,298,362	110,381,356	110447039	110457691	
8	2CNV06	110,895,981-110,964,737	NPHP1	2	110862474	110862477	110,895,981	110,964,737	110964737	110964775	
9	2CNV01	111,399,243-112,777,032		2	111392259	111399243	111,399,243	112,777,032	113094496	113098686	16
10	2CNV07			2	163367097	163513067	163,875,901	167,910,910	168684662	168986256	
10	2CNV07	165,617,506-166,510,365		2	165355527	165578422	165,617,506	166,510,365	166519701	167042291	
11	2CNV03	196925121-205206939		2			196,925,121	205,206,939			
11	2CNV03			2	191175462	193987039	195,763,507	225,167,565	237382556	242014395	5
11	2CNV03	220,158,232-224,899,607		2	219731765	220158232	220,158,232	224,899,607	224899607	226294994	5
12	2CNV02B	242,188,710-242,505,322		2	233995840	235254486	235,744,424	242,505,322	242852625	243028452	18
12	2CNV02A	239969863-240322643	HDAC4	2	237684405	238552639	239,231,436	242,852,625	242974607	243007500	24
12	2CNV02A			2	241006623	241014100	241,110,554	242,710,466	243007359	243028452	7
12	2CNV02A			2	241849988	242118879	242,188,710	243,007,359	243007500	243028452	7
13	3CNV01	633,449-2,222,681		3	73914	633449	633,449	2,222,681	2222681	3006111	
13	3CNV01	3,488,531-4,869,174		3	93949	93978	2,026,210	4,869,174	5832807	6319291	
13	3CNV01			3	73914	93949	3,488,531	8,615,225	8749407	10562542	16
14	3CNV02			3	176157699	178907147	178,907,147	197,837,049	197837049	197845254	5
14	3CNV02	188,983,160-194,130,145		3	186482937	188983160	188,983,160	194,130,145	194130145	197837049	5
14	3CNV02			3	192470726	193635279	193,854,012	197,532,175	197769619	197837049	6
14	3CNV02	195,762,648-197,280,451		3	195740357	195740402	195,762,648	197,280,451	197317103	197322923	37
15	4CNV01C	143,413-1,399,150		4	51413	143413	143,413	1,399,150	1399150	1583294	5
15	4CNV01A	1,806,405-2,010,761	NSD2	4	72447	116643	614,355	2,010,761	2110475	2402086	18
15	4CNV01B			4	72320	72447	1,678,526	3,787,112	3848881	4098729	28
15	4CNV01C			4	71553	72447	75,677	7,361,544	7831152	7897940	6
15	4CNV01C			4	72447	78470	1,806,405	9,371,067	10252431	12595138	21
15	4CNV01C			4	51413	72447	85,040	21,024,037	26521410	28067931	7
16	4CNV03	83,319,614-83608796		4	82125731	82654487	82,723,161	83,608,796	84253748	84358267	5
16	4CNV03			4	83072226	83169845	83,319,614	85,590,900	85642725	86152968	5
17	4CNVxx	87,100,001-92,800,000		4			87,100,001	92,800,000			
18	4CNV02	185,160,684-190,469,337		4	182376719	183993896	185,160,684	190,469,337	190807379	190896768	19
19	5CNV01	1,217,536-1,659,250		5	22149	37692	37,692	1,659,250	1826370	2453629	6
19	5CNV01			5	22149	50093	204,849	3,404,358	3557056	3876457	5
19	5CNV01			5	22149	49893	74,149	4,580,604	4768981	6060215	11
19	5CNV01			5	22149	151737	151,737	10,044,199	10044199	10390486	5
19	5CNV01			5	22149	50093	1,217,536	12,004,203	15421246	16584684	21
20	5CNV02C			5	163813707	165402042	168,116,331	180,684,501	180696806	180696947	5
20	5CNV02A	175,890,496-177,013,961	NSD1 	5	175559343	175579076	175,890,496	177,013,961	177047120	177360462	14
20	5CNV02B			5	173767675	175316989	175,714,974	180,220,986	180696832	180712263	5
21	6CNV02	383,951-1,951,585		6	163083	170426	213,630	1,951,585	2029765	2724845	7
21	6CNV02			6	156974	163113	383,951	4,143,585	4320789	4674704	5
21	6CNV02			6	163083	164633	170,426	5,239,414	5823834	6027780	14
22	6CNVxx	7,578,012-7,581,802	DSP	6	NF	NF	7,578,012	7,581,802	NF	NF	2
22	6CNV02			6	164360	389423	2,862,874	13,340,113	13475188	15732394	6
23	6CNVxy		PLN	6	NF	NF	118,879,988	118,881,893	NF	NF	2
24	6CNV01	170,088,905-170,892,302		6	159875671	160749320	161,626,360	170,892,302	170911240	170921089	17
24	6CNV01			6	163747722	164617352	165,539,978	170,892,907	170906796	170917906	11
24	6CNV01			6	167684407	168364298	168,581,153	170,892,302	170898549	170911240	7
24	6CNV01			6	169841473	170041800	170,088,905	170,911,240	170911240	170921089	5
25	7CNV04	194,258-1,434,969		7	44944	54185	54,185	1,434,969	1480761	1883220	5
25	7CNV04			7	54185	65558	194,258	5,920,006	6309816	6844888	8
26	7CNV03	9,631,807-96,339,203	SHFM1	7			9,631,807	96,339,203			
27	7CNV01	73,150,418-74,133,332		7	72726578	72766313	73,150,418	74,133,332	74133332	74139390	155
28	7CNV02E			7	130913523	132534956	132,534,956	159,088,636	159088636	159128555	5
28	7CNV02D	152557661-154607292		7	141660661	144618049	145,133,637	154,607,292	156087602	159075220	16
28	7CNV02C			7	150911408	152351643	152,557,661	158,923,949	159075079	159118566	16
28	7CNV02B	157,691,388-158,928,217		7	154731420	155436322	155,965,227	158,928,217	159118566	159124141	14
28	7CNV02A			7	156821587	157691388	157,691,388	159,088,636	159088636	159118566	5
29	8CNV01A	360,369-2,124,306		8	191530	194617	330,897	2,124,306	2134050	3047205	11
29	8CNV01B			8	191530	311987	311,987	4,245,582	4245582	4787200	5
29	8CNV01C			8	186785	191530	360,369	6,880,363	6880363	6920273	52
30	8CNV02	8,149,999-10,513,046		8	8093066	8130630	8,149,999	10,513,046	11819316	11897788	44
31	8CNV03B	24,767,877-27,361,796		8	12240353	12583259	12,583,259	27,361,796	27361796	30038037	9
31	8CNV03C			8	12467484	12586413	14,797,619	35,572,807	37879246	42213568	23
31	8CNV03A			8	24709966	24767877	24,767,877	30,005,569	30005569	31068253	5
31	8CNV03D	39,818,050-42,229,252		8	39068643	39387857	39,818,050	42,229,252	42628658	43055737	6
32	9CNV01A	280255-3793376		9	204193	220253	280,255	3,793,376	4210335	5426099	14
32	9CNV01B	4339192-7141996		9	204193	220253	2,077,800	7,141,996	8866675	10340779	23
32	9CNV01C			9	204193	267853	4,339,192	12,984,040	13454718	14853694	26
33	9CNV02E	140492807-140508190	EHMT1	9	131058067	131585873	131,830,839	141,006,466	141018984	141044489	6
33	9CNV02D			9	136324358	136861349	137,039,820	141,008,915	141018976	141018984	8
33	9CNV02C			9	138907822	139218428	139,218,428	140,508,190	140909058	141018984	5
33	9CNV02B			9	139665148	139772224	139,821,027	141,008,915	141018976	141018984	3
33	9CNV02A			9	140407572	140436568	140,492,807	140,954,147	140986221	141018976	11
34	10CNV04A	148,206-358,626		10	148006	148206	148,206	358,626	370849	412134	5
34	10CNV04B	485,716-1,801,937		10	136161	136361	136,361	1,801,937	1886086	2524928	6
34	10CNV04C			10	119796	136361	148,206	6,739,705	6811956	8484746	9
34	10CNV04D			10	136361	148325	485,716	15,611,527	19472976	22856354	7
35	10CNV05b			10	46287821	46342290	46,491,169	51,595,050	51780901	51804955	10
35	10CNV05a	49,201,519-51,362,210		10	47011584	48737722	49,201,519	51,362,210	51636253	51664079	12
36	10CNV01	82,242,610-88,827,989		10	81641918	81658272	82,242,610	88,827,989	88828018	88940399	23
37	10CNV02	102,987,428-103,366,970	BTRC	10	102969339	102987428	102,987,428	103,366,970	103407534	103419682	17
38	10CNV03c			10	124500982	126161677	127,346,041	135,372,492	135404471	135434113	23
38	10CNV03b	133,991,979-134,590,089		10	129907496	131122271	131,472,230	134,590,089	135372492	135427143	17
38	10CNV03A			10	133728377	133929772	133,991,979	134,924,296	135222624	135404523	6
39	11CNV02B			11	20101020	21297424	22,571,661	32,607,424	33211190	34485543	5
39	11CNV02A	31,277,819-31,693,266		11	31152003	31277819	31,277,819	31,693,266	31693266	31747631	5
40	11CNV03C			11	116722088	116722111	116,739,651	131,059,210	134868407	134910140	11
40	11CNV03B	125,916,253-126,343,427		11	120745875	122026758	122,053,151	126,343,427	127579051	129113480	5
40	11CNV01			11	123624201	125111368	125,916,253	131,225,064	134446160	134868407	26
40	11CNV03A	131,181,867-134,479,189		11	130863801	131081923	131,181,867	134,479,189	134868407	134868548	10
41	12CNV01	1080000-1346471		12	189578	230421	299,773	2,667,263	2959765	3288886	9
42	12CNVxxA	32,974,290-32,977,096	PKP2	12	NF	NF	32,974,290	32,977,096		NF	NF
42	12CNVxxB	33,049,443-33,049,690	PKP2	12	NF	NF	33,049,443	33,049,690		NF	NF
43	13CNV02a	20,867,199-21,095,898		13	20823293	20867199	20,867,199	21,095,898	21095898	21099089	
44	13CNV02b	23,566,962-24,827,740		13	23553332	23566962	23,566,962	24,827,740	24827740	24910743	
44	13CNV02c			13	19532231	19703703	20,246,074	31,664,597	34838259	38230176	
45	13CNV01C	102,766,375-109,815,264		13	100692114	102333248	102,766,375	109,815,264	114101585	115092581	13
45	13CNV01B	112,218,250-114,101,585		13	106223421	107821153	108,570,480	114,101,585	115083483	115092648	14
45	13CNV01A			13	111005475	112091743	112,218,250	115,092,648	115092648	115105655	12
47	14CNV01D	95,990,744-105,329,995		14	94190437	95552502	95,990,744	105,329,995	106906960	107240869	8
47	14CNV01C			14	100775719	102131939	102,392,007	106,453,697	107263478	107263479	12
47	14CNV01B			14	103689307	104251095	104,289,937	106,261,806	107263478	107278770	7
47	14CNV01a	106,009,295-106,261,806		14	105919632	106009295	106,009,295	107,263,478	107263478	107282437	5
48	15CNV01.1A	22,866,888-23,076,420	NIPA1	15	22765628	22815607	22,866,888	23,076,420	23082821	23086456	18
48	15CNV01.1B	23,707,452-27,783,485		15	22770421	22784523	22,784,523	23,146,102	23179948	23187811	59
48	15CNV01.1C	29,031,708-30,366,124		15	22784523	22866888	22,866,888	23,470,963	23648792	23699760	8
48	15CNV01D			15	29025265	29031708	29,031,708	30,366,124	30366138	31077833	5
48	15CNV01B			15	20575646	20603042	20,686,219	23,146,103	23179948	23300263	15
48	15CNV01C			15	23300254	23668011	23,707,452	27,783,485	28520313	28559402	210
48	15CNV01D			15	20102541	20175623	20,207,713	26,214,208	26829529	30366124	7
48	15CNV01F			15	22698322	22765628	22,765,637	31,292,534	32509932	32899558	16
49	15CNV02B	32,076,948-32,443,563	 CHRNA7	15	30930422	31014508	31,115,047	32,443,563	32509926	32510863	159
49	15CNV02A			15	32065000	32076948	32,076,948	32,445,252	32510863	32514980	56
50	15CNV03B	74909384-75434301		15	72943184	72963770	72,963,970	75,434,301	75535330	75567135	7
50	15CNV03A			15	74410915	74460995	74,909,384	77,117,357	78121394	78203975	4
51	15CNV04D	84,837,905-100,283,019		15	83528428	84657433	84,837,905	100,283,019	102263418	102383473	8
51	15CNV04C	100,762,996-101,293,703		15	97457209	97673323	97,931,592	102,383,473	102383473	102389781	9
51	15CNV04B			15	98596519	99010526	99,049,131	101,293,703	101320461	102351195	7
51	15CNV04A			15	100193199	100696411	100,762,996	102,252,128	102383473	102397836	12
52	16CNV06A	596255-932211		16	1	96766	155,427	932,211	1065651	1271680	5
52	16CNV06B			16	96566	96766	596,255	1,823,350	1917328	2124458	10
53	16CNV07B	3776715-3777121	CREBBP	16	3716024	3716036	3,730,456	3,777,121	3788580	3791328	5
53	16CNV07A			16	NF	NF	3,776,715	3,809,010	NF	NF	2
54	16CNV01B	15,551,302-16,194,578	MYH11	16	15048732	15048751	15,449,696	16,194,578	16249607	16276115	86
54	16CNV01A			16	15492317	15551302	15,551,302	16,194,578	16194578	16292235	16
55	16CNV02	16,276,056-18,112,776		16	15492307	15528510	16,276,056	18,112,776	18141051	18172468	28
56	16CNV03A	22,043,878-22,380,197	EEF2K, CDR2	16	21926361	21951379	22,043,878	22,380,197	22380197	22407931	36
56	16CNV03B			16	21475044	21475060	21,612,313	28,318,164	28334665	28628827	6
58	16CNV04c	28,861,531-28,998,957	SH2B1	16	28404153	28455418	28,503,803	29,182,196	29318305	29331326	6
58	16CNV04a			16	28856819	28861531	28,861,531	28,998,957	29031059	29031071	11
58	16CNV04b			16	28824794	28837450	28,837,450	29,037,107	29042118	29042178	51
59	16CNV05C	29,841,161-30,097,178	TBX6	16	28503803	28843803	29,238,593	30,190,568	30190568	30197341	16
59	16CNV05B			16	29656012	29673954	29,673,954	30,107,008	30190568	30197290	347
59	16CNV05A			16	29673954	29707373	29,841,161	30,097,178	30119759	30131105	23
60	16CNV08	47,284,555-51,973,216		16	46500741	46505617	47,284,555	51,973,216	52348090	52456082	9
61	16CNV09E	71,229,088-84,619,401		16	66653784	70783301	71,229,088	84,619,401	88651933	90148393	11
61	16CNV09A	86,804,086-87,595,215		16	86705769	86761351	86,804,086	87,595,215	87800485	87846920	5
61	16CNV09d	88,193,266-89,335,487		16	82206755	84022175	84,341,219	90,111,263	90124279	90148393	6
61	16CNV09c			16	85586582	86602294	86,774,639	90,111,263	90124279	90148393	5
61	16CNV09b			16	87881822	87887007	88,193,266	89,335,487	89561087	89572450	6
62	17CNV06C	735,867-932,682		17	43098	87009	87,009	932,682	1279570	1361431	5
62	17CNV06D	1,409,812-1,464,993		17	48539	286554	735,867	1,806,001	1824246	2288806	14
62	17CNV06A			17	1201214	1229103	1,251,811	1,464,993	1492475	1541349	7
62	17CNV06B			17	1084006	1130686	1,235,799	1,887,407	1935766	2096909	7
62	17CNV06E			17	76263	1409812	1,409,812	3,447,132	3447132	3558393	5
62	17CNV06F			17	11807	11879	48,539	6,519,770	6862369	7394448	5
63	17CNV01	14,574,435-15,442,066	PMP22	17	14111572	14111772	14,574,435	15,442,066	15442066	15442069	56
64	17CNV02	16,892,401-20,193,169		17	16664132	16778475	16,892,401	20,193,169	20294009	20294038	66
65	17CNV03	29,385,382-30,214,286	NF1	17	29033882	29060343	29,385,382	30,214,286	30321643	30326958	23
66	17CNV04	35,076,189-36,168,104	HNF1B	17	34817422	34856055	35,076,189	36,168,104	36173763	36248918	114
67	17CNV05	43,751,674-44,163,085	KANSL1	17	43703801	43717703	43,751,674	44,163,085	44188500	44212416	55
68	17CNVxx	58,934,659-60,251,568		17	58172700	58332553	58,934,659	60,251,568	60315303	60316690	6
69	18CNV01A	2425506-4199943		18	136226	149089	149,350	4,199,943	4391015	5458471	19
69	18CNV01B			18	136227	148963	2,425,506	8,860,680	9146865	10762630	20
70	18CNV02B	73,700,832-75,387,611		18	66230659	67205975	69,540,119	75,387,611	78009973	78010032	22
70	18CNV02A			18	71638423	73123274	73,700,832	77,111,148	77982126	78010032	14
71	19CNV01B	4,008,558-4,051,633		19	3364791	3413253	3,451,211	4,051,633	4118931	4168106	6
71	19CNV01D			19	265917	277373	1,972,244	6,074,347	6586094	6795622	5
71	19CNV01C			19	3295068	3338022	3,338,022	4,833,151	4833151	4882351	5
71	19CNV01A			19	3898968	3932785	4,008,558	4,523,183	4621011	4763171	7
72	20CNV01A	102,422-743,283		20	67778	70580	70,580	743,283	956299	1171390	10
72	20CNV01B	61,963,016-62,893,189		20	60770	70580	102,422	1,474,759	1751213	1833123	14
72	20CNV02B			20	57617021	57649748	57,820,838	62,893,189	62893189	62904501	5
72	20CNV02A			20	61830372	61845191	61,963,016	62,893,189	62893189	62908674	8
73	21CNV01D	47,424,794-48,056,450		21	37578365	39645414	40,887,141	48,056,450	48056450	48090317	17
73	21CNV01C	44,333,323-46,905,487		21	43153800	44000000	44,333,323	46,905,487	48090317	48090352	11
73	21CNV01B			21	46558236	46597460	46,597,460	48,067,924	48067924	48090317	5
73	21CNV01A			21	47179245	47221774	47,424,794	48,067,924	48090317	48108188	5
74	22CNV01C	17,397,633-18,617,099		22	17370127	17397498	17,397,633	18,617,099	18650719	18661773	20
74	22CNV01D	19,139,027-20,306,317	TBX1	22	17096855	17397498	17,397,498	19,363,465	20311763	20311784	17
74	22CNV01B	21,081,260-21,302,053		22	18919742	18919942	19,139,027	20,306,317	20311763	20312008	47
74	22CNV01E			22	18894835	18919942	18,919,942	21,091,640	21440514	21465659	383
74	22CNV01A			22	20754407	20754422	20,754,422	21,302,053	21440514	21440515	23
74	22CNV02A			22	21076930	21081260	21,081,260	21,379,958	21440514	21455556	15
75	22CNV02B	21,977,700-22,905,068		22	21808950	21926261	21,977,700	22,905,068	22916612	22959664	33
75	22CNV03B			22	21798705	21808950	21,811,979	23,478,158	24593820	24631613	14
75	22CNV03A	23,028,586-23,603,489		22	23012013	23012069	23,028,586	23,603,489	23627391	23643223	12
76	22CNV03A	23,822,927-24,959,827		22	23694101	23720171	23,822,927	24,959,827	24988455	24994500	11
77	22CNV03D	44,203,246-50,706,908		22	42995763	43206844	44,203,246	50,706,908	51169045	51178264	21
77	22CNV03E	51,132,803-51,149,209	SHANK3	22	46044136	47315714	47,569,644	51,169,045	51178264	51178405	23
77	22CNV03D			22	48654563	49010148	49,456,297	51,178,264	51178264	51178515	18
77	22CNV03C			22	49995123	50172917	50,357,262	51,177,360	51178264	51219009	10
77	22CNV03B			22	50883397	50901467	50,901,467	51,149,209	51149209	51178264	5
77	22CNV03A			22	51123291	51123491	51,132,803	51,178,264	51178264	51197766	23
78	XCNV02C	545,953-763,957	SHOX2	X	61091	61529	168,551	763,957	829131	1217076	5
78	XCNV02A	455566-544731		X	NF	NF	455,566	544,731	NF	NF	2
78	XCNV02B			X	481940	517114	545,953	819,243	819243	845273	4
78	XCNV02D			X	219609	296520	481,940	1,342,026	1464218	1752010	5
78	XCNV02E			X	61091	61115	76,102	2,393,547	2695400	2709057	8
79	XCNV01B	2,701,273-5,307,354	STS	X	919417	1471879	2,701,273	5,307,354	5677733	6413964	13
79	XCNV01C	6,807,735-7,867,359		X	60701	76102	2,669,425	8,097,511	8392011	8536442	28
79	XCNV01A			X	6488721	6552712	6,807,735	7,867,359	8097511	8115153	54
80	XCNV02F	76102-819243		X	60701	61091	150,002	21,276,522	21311619	21884360	8
81	XCNV03			X	48245740	48287896	48,434,460	51,488,004	52693963	52693966	12
82	XCNV04C	53,559,548-53,622,547	HUWE1	X	53228169	53283713	53,316,256	53,727,754	53742476	53904597	7
82	XCNV04A		HUWE1	X	NF	NF	53,559,548	53,622,547	NF	NF	2
82	XCNV04B		HUWE1	X	53449334	53559732	53,559,732	53,681,188	53790650	53790726	4
82	XCNV04D		HUWE1	X	51407309	51507140	52,106,339	58,051,765	58081470	58482385	5
83	XCNV05	103031438-103047547	PLP1	X	92846589	99852684	100,809,080	110,894,344	111773320	111920761	3
84	XCNV06G	153287263-153363188	MECP2	X	139527393	139531883	140,254,480	153,832,724	154929220	155209034	17
84	XCNV06F	153595473-153822717		X	148978393	149204377	149,669,522	154,908,471	154908471	155208244	8
84	XCNV06D			X	152562264	152764591	152,769,772	153,406,233	153410270	153832724	3
84	XCNV06C			X	152932487	153035002	153,042,795	153,406,233	153595473	153609163	14
84	XCNV06A			X	153194797	153287317	153,287,490	153,541,192	153595528	153609163	4
84	XCNV06E			X	152215578	152562264	152,652,334	154,494,790	154751965	155232907	12
84	XCNV06B			X	153576890	153576915	153,595,473	153,822,717	153822717	153832695	7
85	XCNV07	154,212,781-154,326,719		X	NF	NF	154,212,781	154,326,719	NF	NF	3
85	XCNV07			X	154120620	154120738	154,120,738	154,490,709	154560375	154564991	10
86		16714035-20723130		21	15006457	15373041	15,373,041	28,315,834	29284970	32275384	5
46		45,541,658-58,206,132		13	34957072	37351455	40,489,318	58,206,132	63530009	65000000	5
46				13	20407270	31937609	43,793,261	87,409,299	115070103	115092648	25
46				13	41717956	45541658	45,541,658	70,046,105	70046105	85711687	5
87		84,521,956-93,112,659		13	78923261	84521956	84,521,956	93,112,659	93112659	95354098	5
88			STAG2	X							44
89				8	NF	NF	120,743,147	120,942,109	NF	NF	5
90		131651428-137,325,904		8	127638409	131439067	131,465,786	137,325,904	137394091	138181670	3
90		141,532,950-142,238,309		8	125498075	125510739	125,526,331	146,280,020	146280020	146280167	7
90				8	131127764	131651428	131,651,428	142,238,309	144628020	146274835	6
90				8	140459470	141415657	141,532,950	144,576,458	146174033	146274835	6
