#chrom	start	end	freq
chr1	2566002	2566723	0.0636
chr1	2566259	2634182	0.3659
chr1	2586186	2615507	0.0123
chr1	2614568	2634182	0.0058
chr1	2684255	2695595	0.0084
chr1	2876448	2876895	1
chr1	2876601	2876738	1
chr1	2911489	2911934	0.2105
chr1	2919031	2919380	0.0878
chr1	3062996	3063479	0.0055
chr1	3082015	3082399	0.0703
chr1	3083952	3084887	0.0136
chr1	3098346	3098555	0.0895
chr1	3215213	3217688	0.3095
chr1	3670490	3671676	0.0051
chr1	3716941	3717153	0.0777
chr1	4059835	4059953	0.08
chr1	4125979	4126949	0.1487
chr1	4155141	4155470	0.4721
chr1	4284510	4286005	0.0082
chr1	4391806	4393668	0.0195
chr1	4392511	4393623	0.0097
chr1	4596030	4603368	0.0488
chr1	4676496	4676645	0.1004
chr1	4882138	4883040	0.0294
chr1	5172334	5173571	0.007
chr1	5350910	5351287	0.0077
chr1	5359262	5362142	0.0055
chr1	5633688	5634013	0.0176
chr1	5725815	5736612	1
chr1	5727693	5728179	0.04
chr1	5804042	5804503	0.0206
chr1	5869340	5869682	0.232
chr1	5876958	5877603	0.0294
chr1	6031428	6044155	0.0068
chr1	6064750	6065986	0.0067
chr1	6064991	6065428	0.0093
chr1	6064750	6066840	0.0247
chr1	6065211	6065490	0.0333
chr1	6065749	6066810	0.0565
chr1	6065691	6066800	0.042
chr1	6065929	6066567	0.0063
chr1	6072125	6072956	0.2129
chr1	6072194	6072632	0.0191
chr1	6434463	6446000	0.0132
chr1	6458634	6459611	0.0316
chr1	6476628	6524490	0.0563
chr1	6858542	6858971	0.0255
chr1	6858636	6858856	0.1429
chr1	7022668	7023529	0.039
chr1	7163491	7164357	0.1807
chr1	7174710	7175533	0.0206
chr1	7552939	7553255	0.019
chr1	7559176	7560340	0.0626
chr1	7567412	7571601	0.0098
chr1	7568485	7571753	0.209
chr1	7569617	7572326	0.1832
chr1	7569976	7571506	0.0428
chr1	7570020	7571521	0.2429
chr1	7608579	7608994	0.0391
chr1	7608740	7609074	0.0309
chr1	7645725	7648453	0.0062
chr1	7715032	7715386	1
chr1	7924934	7925672	0.2475
chr1	7962923	7963480	0.0336
chr1	7963167	7963486	0.0619
chr1	8182402	8191375	0.02
chr1	8185308	8186291	0.0121
chr1	8200690	8211256	0.0094
chr1	8206130	8211074	0.0063
chr1	8247755	8250067	0.0172
chr1	8360182	8364098	0.0289
chr1	8550232	8551722	0.0721
chr1	8669419	8674457	0.075
chr1	8670915	8687174	0.3
chr1	8705833	8706392	0.2474
chr1	8715188	8720239	0.0429
chr1	8728615	8729481	0.1031
chr1	9439900	9440552	0.0199
chr1	9593041	9602360	0.0137
chr1	9593845	9598296	0.2876
chr1	9595618	9597928	0.0511
chr1	9596173	9597237	0.0182
chr1	9844762	9857371	0.0637
chr1	10067122	10068790	0.0055
chr1	10249536	10252126	0.0347
chr1	10367332	10382314	0.0081
chr1	10481597	10484645	0.0276
chr1	10482342	10483948	0.386
chr1	10543545	10545994	0.0164
chr1	10636608	10644073	0.0357
chr1	10954251	10956161	0.0081
chr1	11047331	11047587	0.1345
chr1	11054562	11056117	0.006
chr1	11059704	11063290	0.087
chr1	11230265	11232333	0.009
chr1	11682864	11683205	0.7023
chr1	11988599	11995642	0.0228
chr1	12030447	12032030	0.0383
chr1	12052987	12053417	0.0261
chr1	12743147	12747960	0.0358
chr1	12805272	12807019	0.007
chr1	12822364	12822743	0.1512
chr1	12834916	12971833	0.0267
chr1	12837840	12898164	0.0197
chr1	12845863	12892309	0.0061
chr1	12835868	13047331	0.0153
chr1	12834568	12927856	0.0215
chr1	12839977	12920040	0.0058
chr1	12877893	12963797	0.0652
chr1	12891484	12953489	0.194
chr1	12893609	12926377	0.1598
chr1	12894519	12928826	0.0927
chr1	12908366	12927107	0.1222
chr1	12909237	12927856	0.0139
chr1	12838732	13709344	0.0052
chr1	12908838	12949300	0.129
chr1	12909977	13049137	0.0155
chr1	12940515	12999751	0.2537
chr1	12958999	12974577	0.275
chr1	12974577	13052998	1
chr1	13014884	13189824	0.0789
chr1	13047332	13052938	0.0732
chr1	13102999	13124417	0.0732
chr1	13103023	13219695	0.24
chr1	13161724	13219695	0.0488
chr1	13169590	13178497	0.0896
chr1	13170568	13190488	0.0588
chr1	13174677	13182837	0.1551
chr1	13176833	13182837	0.0251
chr1	13174615	13187813	0.0326
chr1	13181668	13201143	0.025
chr1	13209901	13219912	1
chr1	13326444	13329531	0.0597
chr1	13320001	13389874	1
chr1	13338749	13347389	0.25
chr1	13366339	13421428	0.3134
chr1	13412434	13475340	0.0441
chr1	13443701	13472700	0.0185
chr1	13482738	13491703	0.1045
chr1	13607202	13653136	0.2836
chr1	13607202	13696564	0.1707
chr1	13607202	13749236	0.2597
chr1	13653694	13696620	0.0441
chr1	13692845	13774592	0.3551
chr1	13693223	13696922	0.0299
chr1	13703570	13712147	0.1194
chr1	13772254	13777459	0.1045
chr1	13827928	13828226	0.0438
chr1	13848467	13848897	0.0722
chr1	13854165	13854379	0.1295
chr1	13894060	13894905	0.0928
chr1	14163040	14167016	0.0663
chr1	14435961	14439233	0.3553
chr1	14436261	14436764	0.1959
chr1	14437250	14439042	0.0081
chr1	15325490	15327631	0.0125
chr1	15326657	15327606	0.0163
chr1	15364967	15365766	0.0368
chr1	15365338	15365569	0.0669
chr1	15374794	15375510	0.0206
chr1	15486934	15491483	0.0098
chr1	15489185	15490286	0.0065
chr1	15557812	15558602	0.0199
chr1	15781001	15802830	0.0066
chr1	15923826	15927366	0.007
chr1	15935091	15938228	0.0055
chr1	16009544	16011390	0.0162
chr1	16145501	16161836	1
chr1	16149915	16156992	0.2325
chr1	16152274	16153957	0.0404
chr1	16152274	16155538	0.0829
chr1	16345255	16379416	0.0302
chr1	16347137	16376278	0.0382
chr1	16357376	16389174	0.0871
chr1	16363925	16385768	0.0113
chr1	16376373	16386270	0.1432
chr1	16429702	16435215	0.0496
chr1	16748650	16756842	0.0113
chr1	16809854	16811596	0.0955
chr1	16777679	17291882	0.0124
chr1	16831785	16849283	0.1029
chr1	16834539	16836427	0.0503
chr1	16810061	17012785	0.0065
chr1	16819621	17114712	0.0148
chr1	16854043	16863918	0.0448
chr1	16796721	17011498	0.0108
chr1	16869363	16945579	0.0054
chr1	16890861	16893975	0.2408
chr1	16890412	16920861	1
chr1	16939852	16949654	0.0299
chr1	16976042	16982963	0.325
chr1	17005722	17052562	0.0076
chr1	17005722	17051696	0.0088
chr1	17008459	17012832	0.1506
chr1	16986851	17114712	0.0077
chr1	16963301	17114712	0.0144
chr1	17005734	17076467	0.0132
chr1	17008783	17076467	0.017
chr1	16963301	17330137	0.0209
chr1	16986839	17276229	0.0085
chr1	17048159	17083999	0.22
chr1	17077492	17083782	0.275
chr1	17075417	17125658	0.0216
chr1	17076467	17125629	0.0298
chr1	17048184	17286307	0.0079
chr1	17076467	17276229	0.0057
chr1	17175722	17206132	0.1194
chr1	17177033	17281243	0.022
chr1	17177033	17286307	0.1085
chr1	17205512	17222715	0.1343
chr1	17203485	17236258	0.1333
chr1	17216138	17231500	0.0645
chr1	17229920	17263377	0.0065
chr1	17231184	17266696	0.1346
chr1	17484104	17514831	0.0056
chr1	17641948	17642976	0.0105
chr1	17675886	17677389	0.2025
chr1	17675893	17678930	0.4001
chr1	17676384	17677196	0.0065
chr1	18009607	18009892	0.028
chr1	19386358	19387372	0.0094
chr1	19592981	19614527	0.0213
chr1	19646723	19648947	0.0831
chr1	19761260	19761789	1
chr1	19761424	19761631	0.1349
chr1	19969467	19969611	0.0269
chr1	20406348	20411107	0.0211
chr1	20496809	20498171	0.391
chr1	20497117	20497789	0.3118
chr1	20863869	20864776	0.0757
chr1	20931626	20932807	0.1772
chr1	21697490	21815162	0.1029
chr1	21757180	21760264	0.0072
chr1	21786354	21786802	0.6704
chr1	21787334	21787999	0.0825
chr1	21787734	21787829	0.0068
chr1	22144620	22144783	0.2538
chr1	22286403	22286461	0.0206
chr1	22293885	22344104	0.0507
chr1	22292949	22358265	0.0098
chr1	22293817	22329673	0.0082
chr1	22312153	22340752	0.0544
chr1	22318183	22330539	0.0357
chr1	22499758	22509308	0.0164
chr1	22904316	22905637	0.1196
chr1	22904970	22905934	0.0269
chr1	23434045	23437516	0.0054
chr1	23718859	23719135	1
chr1	23736126	23737885	0.0367
chr1	24091293	24100075	0.0117
chr1	24200146	24201481	0.0108
chr1	24200586	24201391	0.0091
chr1	24223580	24224201	0.0105
chr1	24402972	24403320	0.1122
chr1	24520231	24523825	0.1452
chr1	24804145	24809692	0.168
chr1	24805052	24807922	0.0815
chr1	24805294	24807186	0.0311
chr1	24895660	24901144	0.0554
chr1	25157720	25161782	0.1154
chr1	25178181	25184721	0.0111
chr1	25201821	25203640	0.055
chr1	25558560	25673142	0.0651
chr1	25554509	25738894	0.0081
chr1	25585344	25640362	0.014
chr1	25573522	25694186	0.1525
chr1	25591745	25619589	0.0336
chr1	25607438	25646986	0.0299
chr1	25593128	25664666	0.0084
chr1	25628073	25664799	0.0149
chr1	25661501	25721771	0.0098
chr1	25688264	25700415	0.0083
chr1	25688674	25700415	0.0267
chr1	25709998	25723250	0.0125
chr1	26094069	26095008	0.0412
chr1	26134513	26135204	0.3814
chr1	26268407	26269112	0.0222
chr1	26456140	26464632	0.1429
chr1	26459745	26465112	0.1164
chr1	26460498	26465112	0.225
chr1	26489774	26490342	0.0752
chr1	26960845	26964542	0.1343
chr1	27464813	27466139	0.0062
chr1	27571330	27572444	0.0332
chr1	27803915	27804641	0.015
chr1	27804063	27804459	0.2841
chr1	27935044	27935874	0.0928
chr1	27935377	27935524	0.1051
chr1	28247621	28248290	0.0462
chr1	28247788	28248168	0.3939
chr1	28551333	28554125	0.0345
chr1	28833906	28835248	0.009
chr1	29227581	29227903	0.0626
chr1	29304288	29306446	0.0303
chr1	30030063	30030397	0.0459
chr1	30435742	30436238	0.0191
chr1	30479703	30489514	0.007
chr1	30737373	30740479	0.006
chr1	30738598	30740493	0.0435
chr1	31040581	31041726	0.1032
chr1	31122662	31124767	0.0123
chr1	31169439	31171991	0.0269
chr1	31244397	31244868	0.2062
chr1	31244564	31244672	0.025
chr1	31249003	31249527	0.0825
chr1	31249114	31249335	0.0116
chr1	31249150	31249224	0.0206
chr1	31367124	31367916	0.4227
chr1	31399292	31400071	0.0151
chr1	31719976	31723457	0.0179
chr1	32011534	32012586	0.0619
chr1	32011912	32012070	0.0374
chr1	32373264	32374218	0.1134
chr1	32448285	32452422	0.0067
chr1	32874178	32875606	0.0183
chr1	33102049	33102922	0.0051
chr1	33216200	33216827	0.0096
chr1	33476352	33478910	0.9897
chr1	33785116	33788257	0.0219
chr1	33898056	33899123	0.0063
chr1	34028738	34029762	0.0051
chr1	34567942	34568682	0.1753
chr1	34568174	34568298	0.0157
chr1	35095652	35118031	0.0365
chr1	35102654	35104491	0.1595
chr1	35103866	35113184	0.054
chr1	35267671	35268237	0.0206
chr1	35349256	35350196	0.0082
chr1	35627050	35627504	0.6109
chr1	36733182	36733672	0.2112
chr1	36733270	36733515	0.923
chr1	36748734	36749536	0.1546
chr1	36749269	36749340	0.1154
chr1	37009607	37009868	0.0722
chr1	37422402	37426495	0.3814
chr1	37423284	37423802	0.0722
chr1	37424147	37426040	0.0258
chr1	37424271	37425511	0.0075
chr1	37521869	37522707	0.0082
chr1	37816227	37816886	0.0309
chr1	37816436	37816751	0.4439
chr1	38077157	38077589	0.0619
chr1	38132306	38132989	0.0098
chr1	38208062	38208590	0.0206
chr1	38208211	38208434	0.1881
chr1	38602073	38604847	0.0174
chr1	38642037	38645112	0.0057
chr1	39080431	39087604	0.0093
chr1	39083931	39085956	0.102
chr1	39277013	39277955	0.0742
chr1	39561555	39562136	0.0055
chr1	39998214	40001329	0.1074
chr1	40441734	40442031	0.0082
chr1	40552257	40553665	0.0187
chr1	40575437	40587374	0.0148
chr1	40693890	40694187	0.0156
chr1	40962181	40962955	0.23
chr1	40966179	40970590	0.0467
chr1	40968196	40970016	0.0154
chr1	41020927	41032059	0.0416
chr1	41024101	41024509	0.0412
chr1	41024252	41024460	0.0058
chr1	41026622	41028481	0.0162
chr1	41108417	41108607	0.0081
chr1	41571562	41573249	0.016
chr1	41993982	41994396	0.0928
chr1	42071681	42072604	0.0148
chr1	42100833	42101607	0.3299
chr1	42101261	42101345	0.0206
chr1	42144091	42144419	0.0187
chr1	42743101	42743603	0.0209
chr1	43008121	43008560	0.0243
chr1	43384524	43385210	0.0389
chr1	43385153	43386728	0.0347
chr1	43538303	43539044	0.047
chr1	43693516	43696406	0.1223
chr1	43694068	43695653	0.0477
chr1	43857280	43857991	0.0306
chr1	43857443	43857806	0.0416
chr1	44095567	44107450	0.0104
chr1	44337001	44338000	0.0173
chr1	44370163	44371974	0.0052
chr1	44370992	44371529	0.0928
chr1	44604579	44605469	0.0206
chr1	44630296	44630498	0.0077
chr1	44823391	44823733	0.0192
chr1	45021177	45022460	0.1263
chr1	45417539	45417995	0.0116
chr1	45537743	45541059	0.0121
chr1	45642615	45670200	1
chr1	45708588	45709300	0.0464
chr1	45822476	45823489	0.0102
chr1	45870191	45871221	0.007
chr1	46207247	46207618	0.275
chr1	46366071	46366500	0.0065
chr1	46803260	46803684	0.0114
chr1	47346571	47364121	0.0059
chr1	47623401	47625593	0.0234
chr1	48057251	48057514	0.0284
chr1	48721407	48724342	0.0382
chr1	49068875	49069541	0.0168
chr1	49535074	49537575	0.0168
chr1	49904624	50002247	0.0071
chr1	49931813	49947500	0.0061
chr1	51102445	51103586	0.0164
chr1	51128231	51130313	0.0281
chr1	51915145	51917455	0.0195
chr1	52455037	52456002	0.0169
chr1	53025241	53027258	0.006
chr1	53355267	53357912	0.014
chr1	53487870	53489740	0.0131
chr1	53560640	53567605	0.0368
chr1	53560865	53568914	0.0429
chr1	53593942	53594964	0.2715
chr1	53593990	53595966	0.1736
chr1	53595100	53595700	0.2703
chr1	53933553	53933947	0.0057
chr1	53999368	54002688	0.0062
chr1	54174777	54175295	0.0619
chr1	54351275	54353453	0.0151
chr1	54367603	54369751	0.0175
chr1	54610995	54615342	0.0187
chr1	55091226	55096575	0.272
chr1	55092179	55103584	0.0645
chr1	55092179	55094127	0.1127
chr1	55092329	55095513	0.3171
chr1	55287383	55288058	0.0139
chr1	55287535	55287898	0.2964
chr1	55300665	55306613	0.0075
chr1	55301812	55305416	0.2169
chr1	55334143	55334563	0.0206
chr1	55334342	55334442	0.0206
chr1	55341923	55343586	0.0664
chr1	55363915	55369200	0.0148
chr1	55371389	55372203	0.0406
chr1	55851167	55855982	0.0319
chr1	55886193	55886631	0.0722
chr1	55927483	55929249	0.0751
chr1	55974481	55975121	0.2062
chr1	56129402	56129522	0.0412
chr1	56126142	56134692	0.0815
chr1	56131214	56131461	0.0309
chr1	56401099	56401797	0.0058
chr1	56401286	56401652	0.3415
chr1	56831074	56835229	0.4599
chr1	56887516	56888220	0.051
chr1	56887688	56888073	0.0532
chr1	57242604	57242964	0.3361
chr1	57384736	57385647	0.0278
chr1	57861117	57861670	0.0619
chr1	58343161	58343649	0.0439
chr1	58647362	58649137	0.0078
chr1	58743329	58745558	1
chr1	58743895	58745000	0.0071
chr1	58743788	58744937	0.8907
chr1	59017876	59018303	0.0188
chr1	59059555	59060120	0.1786
chr1	59155367	59157255	0.5806
chr1	59446588	59447152	0.0714
chr1	59446716	59446950	0.0104
chr1	60043922	60059135	0.0602
chr1	60046501	60052398	0.0903
chr1	60046710	60049818	0.0108
chr1	60048626	60049691	0.2666
chr1	60048626	60050621	0.0872
chr1	60048750	60052398	0.0065
chr1	60106137	60107324	0.0431
chr1	60106117	60107324	0.7746
chr1	60487912	60488512	0.0051
chr1	61198166	61198592	0.0412
chr1	62082368	62083960	0.3342
chr1	62082781	62083828	0.2429
chr1	62082848	62083633	0.1864
chr1	62103021	62120417	0.0088
chr1	62111054	62120581	0.1235
chr1	62114181	62120142	0.0436
chr1	62390382	62391145	1
chr1	62390586	62390956	0.0471
chr1	62622540	62624842	0.1111
chr1	62653845	62657844	0.1052
chr1	62682790	62683128	0.0081
chr1	63151826	63152174	0.2114
chr1	63614619	63615963	0.0417
chr1	63705268	63708318	0.3403
chr1	64388047	64389748	0.0082
chr1	64446553	64448034	0.0307
chr1	64814301	64823700	0.0309
chr1	64839620	64854155	0.0545
chr1	64843721	64848752	0.0443
chr1	64846743	64848593	0.0523
chr1	65199644	65201389	0.0825
chr1	65199884	65200810	0.2371
chr1	65682049	65682786	0.1474
chr1	65909430	65910097	1
chr1	65909598	65909915	0.0101
chr1	66024095	66030365	0.1776
chr1	66040431	66044673	0.0468
chr1	66079081	66079510	0.0347
chr1	66135705	66136067	0.1531
chr1	66263763	66264492	0.2867
chr1	67201030	67201749	0.0139
chr1	67201138	67201541	0.102
chr1	68007936	68008925	0.885
chr1	68175787	68175907	1
chr1	68594468	68594827	0.0214
chr1	69019468	69021710	0.0101
chr1	69230622	69230788	1
chr1	69479742	69480631	0.0129
chr1	69806801	69807496	0.0127
chr1	69806986	69807348	0.5492
chr1	69943692	69944052	0.27
chr1	69996359	70002732	0.0195
chr1	70027137	70027860	0.0277
chr1	70648034	70650322	0.0097
chr1	70768109	70768461	0.2659
chr1	70945999	70946710	0.0058
chr1	70946165	70946536	0.4545
chr1	71112999	71113440	0.0206
chr1	71148191	71149670	0.0206
chr1	71148769	71149071	0.1736
chr1	71237280	71240365	0.0779
chr1	71487175	71489783	0.0129
chr1	71739624	71742411	1
chr1	71741130	71741841	0.0052
chr1	71741304	71741642	0.3469
chr1	72449514	72450163	0.2555
chr1	72740734	72844844	0.1473
chr1	72749848	72822836	0.4272
chr1	72749848	72765116	0.0791
chr1	72755339	72755492	0.0115
chr1	72755430	72782543	0.0211
chr1	72755430	72763989	0.0733
chr1	72787648	72812440	0.0063
chr1	73335263	73336020	0.0309
chr1	73680035	73712350	0.0057
chr1	73753597	73753932	0.42
chr1	73768740	73769171	0.2615
chr1	74312395	74312731	0.4451
chr1	74432323	74435267	0.0098
chr1	74754951	74755496	0.051
chr1	74755168	74755291	0.0127
chr1	74829729	74830516	0.0059
chr1	75136875	75136980	0.018
chr1	75183559	75186106	0.0063
chr1	75838701	75849900	0.2
chr1	76011678	76012407	0.0058
chr1	76011771	76012211	0.3984
chr1	76133767	76135331	0.0346
chr1	76351722	76351933	0.0206
chr1	76742787	76743711	0.1753
chr1	76900546	76903386	0.0094
chr1	77100328	77100672	0.1735
chr1	77111439	77112991	0.0206
chr1	77111807	77112586	0.1443
chr1	77774413	77781600	0.0056
chr1	78648945	78654500	0.1358
chr1	78649179	78651784	0.0646
chr1	78649267	78660123	0.006
chr1	78833892	78835891	0.0271
chr1	79393604	79399527	0.0437
chr1	79401423	79401925	0.0219
chr1	79897739	79898235	0.0241
chr1	79928793	79929155	0.0121
chr1	80115001	80117402	0.0105
chr1	80116487	80117281	0.0453
chr1	80219618	80221295	0.023
chr1	80221045	80225837	1
chr1	80220972	80223381	0.4633
chr1	80221815	80222961	0.3714
chr1	80796222	80796617	0.0148
chr1	81119247	81119734	0.0365
chr1	81194335	81194669	0.1633
chr1	81402960	81404220	0.0071
chr1	81402828	81411158	0.06
chr1	81404057	81417692	0.2445
chr1	81422270	81424642	0.0716
chr1	81687784	81688135	0.3607
chr1	81979514	81980120	0.0408
chr1	81979731	81979889	0.1037
chr1	82963173	82963806	0.2518
chr1	83042459	83043146	0.0092
chr1	83042596	83042999	0.3554
chr1	83125907	83128246	0.1164
chr1	83149631	83150113	0.0206
chr1	83479000	83479590	0.3505
chr1	83802380	83979035	1
chr1	83804001	83817000	0.0105
chr1	84056608	84057356	0.0867
chr1	84126145	84127118	0.0174
chr1	84271485	84272230	0.0309
chr1	84271892	84272033	0.1103
chr1	84388267	84389032	0.0484
chr1	84516210	84525538	0.7309
chr1	84710029	84716624	0.2139
chr1	84713610	84715634	0.1911
chr1	84882972	84884737	0.0101
chr1	85748630	85748967	0.2828
chr1	85972475	86006499	0.9984
chr1	86296641	86297551	0.0104
chr1	86400692	86404608	0.2439
chr1	86400561	86407135	0.0068
chr1	86405148	86406593	1
chr1	86405767	86406167	0.404
chr1	86680725	86683023	0.0478
chr1	86740604	86742651	1
chr1	86740902	86741784	0.1038
chr1	86851495	86851681	0.0304
chr1	86882399	86882770	0.0428
chr1	86994125	86994526	0.0203
chr1	87096974	87098443	0.016
chr1	87523395	87524655	0.0242
chr1	88046659	88047420	0.0412
chr1	88285840	88286001	0.1191
chr1	89094243	89095359	0.062
chr1	89475109	89478741	0.1622
chr1	89476419	89478338	0.0051
chr1	89475743	89480092	0.8462
chr1	89811372	89812346	0.1003
chr1	90169020	90174196	0.0105
chr1	91132653	91132852	0.0798
chr1	91561045	91562174	0.1596
chr1	91624779	91625076	0.2323
chr1	91914042	91914682	0.4407
chr1	92133929	92135667	0.0714
chr1	92134113	92134968	0.0147
chr1	92231942	92233444	0.2876
chr1	92383235	92384150	0.0062
chr1	92579191	92586079	0.0085
chr1	92681170	92681586	0.0619
chr1	93184643	93186054	0.0094
chr1	93236028	93237991	0.0051
chr1	93291886	93292884	0.2117
chr1	94212821	94213642	0.0296
chr1	94251444	94251780	0.2681
chr1	94288217	94291481	0.3397
chr1	94288287	94291584	0.0201
chr1	94288287	94294492	0.0091
chr1	94849694	94850279	0.0412
chr1	94943033	94943543	0.0619
chr1	94943178	94943402	0.0206
chr1	95125965	95156000	0.0096
chr1	95522242	95526087	0.0282
chr1	95627694	95680318	0.0052
chr1	95690356	95691021	0.036
chr1	96482918	96483404	0.0825
chr1	96483096	96483227	0.0619
chr1	96989667	96990105	0.1649
chr1	96996364	96997215	0.0176
chr1	97595997	97596726	0.0309
chr1	98698424	98706000	0.0051
chr1	98903469	98904146	0.0159
chr1	99044247	99044776	0.0601
chr1	99179942	99180050	0.0527
chr1	99404771	99407786	0.0116
chr1	99890831	99891737	0.0298
chr1	100390488	100390931	0.1825
chr1	100390587	100390821	0.0116
chr1	100779694	100780653	0.0051
chr1	101004249	101005733	0.0286
chr1	101037927	101039796	0.0281
chr1	101119934	101122407	0.0425
chr1	101231398	101232439	0.0119
chr1	101388484	101388943	0.1199
chr1	101695284	101697847	0.0622
chr1	101718713	101718840	1
chr1	101723922	101724621	0.0928
chr1	101724127	101724220	0.0058
chr1	102018265	102018360	0.08
chr1	102096673	102098824	0.0125
chr1	102288334	102289598	0.0072
chr1	102321436	102327143	0.0053
chr1	102323621	102326160	0.0058
chr1	102325346	102327002	0.0098
chr1	102983273	102984827	0.0485
chr1	103047681	103048022	0.2439
chr1	103095573	103097169	1
chr1	103096066	103096399	0.2358
chr1	103110782	103111323	0.5052
chr1	103111058	103111125	0.08
chr1	104001031	104309167	0.016
chr1	104103228	104115799	0.0299
chr1	104102743	104144329	0.0153
chr1	104098640	104178038	0.0432
chr1	104111325	104126330	0.233
chr1	104114236	104122175	0.0299
chr1	104124892	104158349	0.0117
chr1	104113539	104321249	0.021
chr1	104128618	104261194	0.006
chr1	104136954	104161816	0.007
chr1	104144249	104221072	0.0117
chr1	104145392	104161322	0.0089
chr1	104128324	104309167	0.0396
chr1	104153308	104161566	0.0051
chr1	104152907	104166324	0.0129
chr1	104144249	104176066	0.0099
chr1	104153865	104168393	0.0113
chr1	104154772	104219160	0.0095
chr1	104198189	104268222	0.0125
chr1	104178026	104309167	0.0106
chr1	104219160	104226721	0.0065
chr1	104220036	104230212	0.0896
chr1	104221519	104268222	0.0067
chr1	104254411	104269218	0.0098
chr1	104292440	104301310	1
chr1	104306252	104318795	0.0909
chr1	104359657	104361477	0.0115
chr1	104384830	104385513	0.0051
chr1	104443151	104443749	0.2568
chr1	104450995	104452339	0.0206
chr1	104451498	104451659	0.1344
chr1	104669109	104670173	0.0412
chr1	104706623	104708051	0.0296
chr1	104719838	104720200	0.0093
chr1	104809268	104809958	0.0198
chr1	104868310	104871600	0.2371
chr1	104891767	104892332	0.134
chr1	105038769	105042679	0.0074
chr1	105218559	105219485	0.0315
chr1	105253999	105256233	0.3458
chr1	105255027	105256203	0.3542
chr1	105269141	105269597	0.0164
chr1	105428110	105428856	0.0301
chr1	105428274	105428706	0.2764
chr1	105624962	105630925	0.0074
chr1	105666922	105668509	0.1314
chr1	105667577	105668450	0.0564
chr1	105832822	105845639	0.0138
chr1	105866607	105867260	1
chr1	105866763	105867063	0.0173
chr1	106005641	106030589	0.0093
chr1	106011788	106024798	0.2833
chr1	106018005	106023356	0.2735
chr1	106018879	106023356	0.0126
chr1	106162837	106220267	0.0075
chr1	106173509	106173650	0.0198
chr1	106306488	106320989	0.0228
chr1	106309138	106315854	0.0106
chr1	106978443	106981604	0.0452
chr1	107081794	107082335	0.023
chr1	107095215	107102345	0.0285
chr1	107220681	107224674	0.0366
chr1	107221718	107223482	0.0113
chr1	107488060	107488896	0.0051
chr1	107650712	107665449	0.0068
chr1	107896819	107899383	0.0055
chr1	108402103	108405520	0.0277
chr1	108726271	108738692	0.0172
chr1	108731775	108739010	0.0194
chr1	108731785	108739010	0.236
chr1	108733325	108735865	0.0102
chr1	108687433	108854166	0.0054
chr1	108777765	108857903	0.0097
chr1	108778234	108855360	0.7273
chr1	108789115	108802500	0.0645
chr1	108910714	109014438	0.0071
