name	critical_chrom	critical_start	critical_end	critical_width	probe_number	interval	center	chrom	start	end	width	exclude_if	cnvplex_1K	cnvplex_10K	cnvplex_100K	cnvplex_200K
11-chr2_220158232_224899607-M1	chr2	220158232	224899607	4741376	6	853447	222102194	chr2	221931505	222272883	341379	chr2:221675471-222528917	11-chr2_220158232_224899607-M1,chr2:222101194-222103194	11-chr2_220158232_224899607-M1,chr2:222092194-222112194	11-chr2_220158232_224899607-M1,chr2:222002194-222202194	11-chr2_220158232_224899607-M1,chr2:221931505-222272883
11-chr2_220158232_224899607-M2	chr2	220158232	224899607	4741376	6	853447	222955641	chr2	222784952	223126330	341379	chr2:222528918-223382364	11-chr2_220158232_224899607-M2,chr2:222954641-222956641	11-chr2_220158232_224899607-M2,chr2:222945641-222965641	11-chr2_220158232_224899607-M2,chr2:222855641-223055641	11-chr2_220158232_224899607-M2,chr2:222784952-223126330
11-chr2_220158232_224899607-M3	chr2	220158232	224899607	4741376	6	853447	223809088	chr2	223638399	223979777	341379	chr2:223382365-224235811	11-chr2_220158232_224899607-M3,chr2:223808088-223810088	11-chr2_220158232_224899607-M3,chr2:223799088-223819088	11-chr2_220158232_224899607-M3,chr2:223709088-223909088	11-chr2_220158232_224899607-M3,chr2:223638399-223979777
12-chr2_242188710_242505322-L	chr2	242188710	242505322	316613	3	142476	242204540	chr2	242188710	242220370	31661	chr2:242133303-242275777	12-chr2_242188710_242505322-L,chr2:242203540-242205540	12-chr2_242188710_242505322-L,chr2:242194540-242214540	.	.
12-chr2_242188710_242505322-R	chr2	242188710	242505322	316613	3	142476	242489492	chr2	242473662	242505322	31661	chr2:242418255-242560729	12-chr2_242188710_242505322-R,chr2:242488492-242490492	12-chr2_242188710_242505322-R,chr2:242479492-242499492	.	.
12-chr2_242188710_242505322-M0	chr2	242188710	242505322	316613	3	142476	242347016	chr2	242318521	242375511	56991	chr2:242275779-242418253	12-chr2_242188710_242505322-M0,chr2:242346016-242348016	12-chr2_242188710_242505322-M0,chr2:242337016-242357016	.	.
12-chr2_239969863_240322643-L	chr2	239969863	240322643	352781	3	158751	239987502	chr2	239969863	240005141	35279	chr2:239908127-240066877	12-chr2_239969863_240322643-L,chr2:239986502-239988502	12-chr2_239969863_240322643-L,chr2:239977502-239997502	.	.
12-chr2_239969863_240322643-R	chr2	239969863	240322643	352781	3	158751	240305004	chr2	240287365	240322643	35279	chr2:240225629-240384379	12-chr2_239969863_240322643-R,chr2:240304004-240306004	12-chr2_239969863_240322643-R,chr2:240295004-240315004	.	.
12-chr2_239969863_240322643-M0	chr2	239969863	240322643	352781	3	158751	240146253	chr2	240114503	240178003	63501	chr2:240066878-240225628	12-chr2_239969863_240322643-M0,chr2:240145253-240147253	12-chr2_239969863_240322643-M0,chr2:240136253-240156253	.	.
13-chr3_633449_2222681-L	chr3	633449	2222681	1589233	4	476770	712910	chr3	633449	792371	158923	chr3:474526-951294	13-chr3_633449_2222681-L,chr3:711910-713910	13-chr3_633449_2222681-L,chr3:702910-722910	13-chr3_633449_2222681-L,chr3:633449-792371	.
13-chr3_633449_2222681-R	chr3	633449	2222681	1589233	4	476770	2143220	chr3	2063759	2222681	158923	chr3:1904836-2381604	13-chr3_633449_2222681-R,chr3:2142220-2144220	13-chr3_633449_2222681-R,chr3:2133220-2153220	13-chr3_633449_2222681-R,chr3:2063759-2222681	.
13-chr3_633449_2222681-M0	chr3	633449	2222681	1589233	4	476770	1189680	chr3	1094326	1285034	190709	chr3:951296-1428064	13-chr3_633449_2222681-M0,chr3:1188680-1190680	13-chr3_633449_2222681-M0,chr3:1179680-1199680	13-chr3_633449_2222681-M0,chr3:1094326-1285034	.
13-chr3_633449_2222681-M1	chr3	633449	2222681	1589233	4	476770	1666450	chr3	1571096	1761804	190709	chr3:1428066-1904834	13-chr3_633449_2222681-M1,chr3:1665450-1667450	13-chr3_633449_2222681-M1,chr3:1656450-1676450	13-chr3_633449_2222681-M1,chr3:1571096-1761804	.
13-chr3_3488531_4869174-L	chr3	3488531	4869174	1380644	4	414193	3557563	chr3	3488531	3626595	138065	chr3:3350467-3764659	13-chr3_3488531_4869174-L,chr3:3556563-3558563	13-chr3_3488531_4869174-L,chr3:3547563-3567563	13-chr3_3488531_4869174-L,chr3:3488531-3626595	.
13-chr3_3488531_4869174-R	chr3	3488531	4869174	1380644	4	414193	4800142	chr3	4731110	4869174	138065	chr3:4593046-5007238	13-chr3_3488531_4869174-R,chr3:4799142-4801142	13-chr3_3488531_4869174-R,chr3:4790142-4810142	13-chr3_3488531_4869174-R,chr3:4731110-4869174	.
13-chr3_3488531_4869174-M0	chr3	3488531	4869174	1380644	4	414193	3971756	chr3	3888918	4054594	165677	chr3:3764660-4178852	13-chr3_3488531_4869174-M0,chr3:3970756-3972756	13-chr3_3488531_4869174-M0,chr3:3961756-3981756	13-chr3_3488531_4869174-M0,chr3:3888918-4054594	.
13-chr3_3488531_4869174-M1	chr3	3488531	4869174	1380644	4	414193	4385949	chr3	4303111	4468787	165677	chr3:4178853-4593045	13-chr3_3488531_4869174-M1,chr3:4384949-4386949	13-chr3_3488531_4869174-M1,chr3:4375949-4395949	13-chr3_3488531_4869174-M1,chr3:4303111-4468787	.
14-chr3_188983160_194130145-L	chr3	188983160	194130145	5146986	6	926457	189240509	chr3	188983160	189497858	514699	chr3:188777281-189703737	14-chr3_188983160_194130145-L,chr3:189239509-189241509	14-chr3_188983160_194130145-L,chr3:189230509-189250509	14-chr3_188983160_194130145-L,chr3:189140509-189340509	14-chr3_188983160_194130145-L,chr3:189040509-189440509
14-chr3_188983160_194130145-R	chr3	188983160	194130145	5146986	6	926457	193872796	chr3	193615447	194130145	514699	chr3:193409568-194336024	14-chr3_188983160_194130145-R,chr3:193871796-193873796	14-chr3_188983160_194130145-R,chr3:193862796-193882796	14-chr3_188983160_194130145-R,chr3:193772796-193972796	14-chr3_188983160_194130145-R,chr3:193672796-194072796
14-chr3_188983160_194130145-M0	chr3	188983160	194130145	5146986	6	926457	190166966	chr3	189981675	190352257	370583	chr3:189703738-190630194	14-chr3_188983160_194130145-M0,chr3:190165966-190167966	14-chr3_188983160_194130145-M0,chr3:190156966-190176966	14-chr3_188983160_194130145-M0,chr3:190066966-190266966	14-chr3_188983160_194130145-M0,chr3:189981675-190352257
14-chr3_188983160_194130145-M1	chr3	188983160	194130145	5146986	6	926457	191093423	chr3	190908132	191278714	370583	chr3:190630195-191556651	14-chr3_188983160_194130145-M1,chr3:191092423-191094423	14-chr3_188983160_194130145-M1,chr3:191083423-191103423	14-chr3_188983160_194130145-M1,chr3:190993423-191193423	14-chr3_188983160_194130145-M1,chr3:190908132-191278714
14-chr3_188983160_194130145-M2	chr3	188983160	194130145	5146986	6	926457	192019880	chr3	191834589	192205171	370583	chr3:191556652-192483108	14-chr3_188983160_194130145-M2,chr3:192018880-192020880	14-chr3_188983160_194130145-M2,chr3:192009880-192029880	14-chr3_188983160_194130145-M2,chr3:191919880-192119880	14-chr3_188983160_194130145-M2,chr3:191834589-192205171
14-chr3_188983160_194130145-M3	chr3	188983160	194130145	5146986	6	926457	192946337	chr3	192761046	193131628	370583	chr3:192483109-193409565	14-chr3_188983160_194130145-M3,chr3:192945337-192947337	14-chr3_188983160_194130145-M3,chr3:192936337-192956337	14-chr3_188983160_194130145-M3,chr3:192846337-193046337	14-chr3_188983160_194130145-M3,chr3:192761046-193131628
