name	center	type	chrom	start	end	width	message	cnvplex_1K	cnvplex_10K	cnvplex_100K	cnvplex_200K
chr1-CP2	30000000	CP2	chr1	29000000	31000000	2000001	.	chr1-CP2,chr1:29999000-30001000	chr1-CP2,chr1:29990000-30010000	chr1-CP2,chr1:29900000-30100000	chr1-CP2,chr1:29800000-30200000
chr1-CP3	50000000	CP3	chr1	49000000	51000000	2000001	.	chr1-CP3,chr1:49999000-50001000	chr1-CP3,chr1:49990000-50010000	chr1-CP3,chr1:49900000-50100000	chr1-CP3,chr1:49800000-50200000
chr1-CP4	70000000	CP4	chr1	69000000	71000000	2000001	.	chr1-CP4,chr1:69999000-70001000	chr1-CP4,chr1:69990000-70010000	chr1-CP4,chr1:69900000-70100000	chr1-CP4,chr1:69800000-70200000
chr1-CP5	90000000	CP5	chr1	89000000	91000000	2000001	.	chr1-CP5,chr1:89999000-90001000	chr1-CP5,chr1:89990000-90010000	chr1-CP5,chr1:89900000-90100000	chr1-CP5,chr1:89800000-90200000
chr1-CP6	110000000	CP6	chr1	109000000	111000000	2000001	.	chr1-CP6,chr1:109999000-110001000	chr1-CP6,chr1:109990000-110010000	chr1-CP6,chr1:109900000-110100000	chr1-CP6,chr1:109800000-110200000
chr1-CQ1	130535434	CQ1	chr1	129535434	131535434	2000001	skip无法设计	chr1-CQ1,chr1:130534434-130536434	chr1-CQ1,chr1:130525434-130545434	chr1-CQ1,chr1:130435434-130635434	chr1-CQ1,chr1:130335434-130735434
chr1-CQ2	150535434	CQ2	chr1	149535434	151535434	2000001	skip改为chr1-BQ1	chr1-CQ2,chr1:150534434-150536434	chr1-CQ2,chr1:150525434-150545434	chr1-CQ2,chr1:150435434-150635434	chr1-CQ2,chr1:150335434-150735434
chr1-CQ3	170535434	CQ3	chr1	169535434	171535434	2000001	.	chr1-CQ3,chr1:170534434-170536434	chr1-CQ3,chr1:170525434-170545434	chr1-CQ3,chr1:170435434-170635434	chr1-CQ3,chr1:170335434-170735434
chr1-CQ4	190535434	CQ4	chr1	189535434	191535434	2000001	.	chr1-CQ4,chr1:190534434-190536434	chr1-CQ4,chr1:190525434-190545434	chr1-CQ4,chr1:190435434-190635434	chr1-CQ4,chr1:190335434-190735434
chr1-CQ5	210535434	CQ5	chr1	209535434	211535434	2000001	.	chr1-CQ5,chr1:210534434-210536434	chr1-CQ5,chr1:210525434-210545434	chr1-CQ5,chr1:210435434-210635434	chr1-CQ5,chr1:210335434-210735434
chr1-CQ6	230535434	CQ6	chr1	229535434	231535434	2000001	.	chr1-CQ6,chr1:230534434-230536434	chr1-CQ6,chr1:230525434-230545434	chr1-CQ6,chr1:230435434-230635434	chr1-CQ6,chr1:230335434-230735434
chr2-AP0	1	AP0	chr2	1	200001	200001	.	chr2-AP0,chr2:1-1001	chr2-AP0,chr2:1-10001	chr2-AP0,chr2:1-100001	chr2-AP0,chr2:1-200001
chr2-AP1	1000000	AP1	chr2	800000	1200000	400001	.	chr2-AP1,chr2:999000-1001000	chr2-AP1,chr2:990000-1010000	chr2-AP1,chr2:900000-1100000	chr2-AP1,chr2:800000-1200000
chr2-AP2	2000000	AP2	chr2	1800000	2200000	400001	.	chr2-AP2,chr2:1999000-2001000	chr2-AP2,chr2:1990000-2010000	chr2-AP2,chr2:1900000-2100000	chr2-AP2,chr2:1800000-2200000
chr2-AP3	3000000	AP3	chr2	2800000	3200000	400001	.	chr2-AP3,chr2:2999000-3001000	chr2-AP3,chr2:2990000-3010000	chr2-AP3,chr2:2900000-3100000	chr2-AP3,chr2:2800000-3200000
chr2-AP5	5000000	AP5	chr2	4800000	5200000	400001	.	chr2-AP5,chr2:4999000-5001000	chr2-AP5,chr2:4990000-5010000	chr2-AP5,chr2:4900000-5100000	chr2-AP5,chr2:4800000-5200000
chr2-AQ0	243199373	AQ0	chr2	242999373	243199373	200001	skip无法设计	chr2-AQ0,chr2:243198373-243200373	chr2-AQ0,chr2:243189373-243209373	chr2-AQ0,chr2:243099373-243299373	chr2-AQ0,chr2:242999373-243199373
chr2-AQ1	242199373	AQ1	chr2	241999373	242399373	400001	.	chr2-AQ1,chr2:242198373-242200373	chr2-AQ1,chr2:242189373-242209373	chr2-AQ1,chr2:242099373-242299373	chr2-AQ1,chr2:241999373-242399373
chr2-AQ2	241199373	AQ2	chr2	240999373	241399373	400001	.	chr2-AQ2,chr2:241198373-241200373	chr2-AQ2,chr2:241189373-241209373	chr2-AQ2,chr2:241099373-241299373	chr2-AQ2,chr2:240999373-241399373
chr2-AQ3	240199373	AQ3	chr2	239999373	240399373	400001	.	chr2-AQ3,chr2:240198373-240200373	chr2-AQ3,chr2:240189373-240209373	chr2-AQ3,chr2:240099373-240299373	chr2-AQ3,chr2:239999373-240399373
chr2-AQ5	238199373	AQ5	chr2	237999373	238399373	400001	.	chr2-AQ5,chr2:238198373-238200373	chr2-AQ5,chr2:238189373-238209373	chr2-AQ5,chr2:238099373-238299373	chr2-AQ5,chr2:237999373-238399373
chr2-BP1	84000000	BP1	chr2	83800000	84200000	400001	设计在84M附近	chr2-BP1,chr2:83999000-84001000	chr2-BP1,chr2:83990000-84010000	chr2-BP1,chr2:83900000-84100000	chr2-BP1,chr2:83800000-84200000
chr2-BP0	92326171	BP0	chr2	92126171	92526171	400001	可用2p85M	chr2-BP0,chr2:92325171-92327171	chr2-BP0,chr2:92316171-92336171	chr2-BP0,chr2:92226171-92426171	chr2-BP0,chr2:92126171-92526171
chr2-BQ0	95326171	BQ0	chr2	95126171	95526171	400001	可用2q147M	chr2-BQ0,chr2:95325171-95327171	chr2-BQ0,chr2:95316171-95336171	chr2-BQ0,chr2:95226171-95426171	chr2-BQ0,chr2:95126171-95526171
chr2-BQ1	96326171	BQ1	chr2	96126171	96526171	400001	.	chr2-BQ1,chr2:96325171-96327171	chr2-BQ1,chr2:96316171-96336171	chr2-BQ1,chr2:96226171-96426171	chr2-BQ1,chr2:96126171-96526171
chr2-CP1	10000000	CP1	chr2	9000000	11000000	2000001	.	chr2-CP1,chr2:9999000-10001000	chr2-CP1,chr2:9990000-10010000	chr2-CP1,chr2:9900000-10100000	chr2-CP1,chr2:9800000-10200000
chr2-CP2	30000000	CP2	chr2	29000000	31000000	2000001	.	chr2-CP2,chr2:29999000-30001000	chr2-CP2,chr2:29990000-30010000	chr2-CP2,chr2:29900000-30100000	chr2-CP2,chr2:29800000-30200000
chr2-CP3	50000000	CP3	chr2	49000000	51000000	2000001	.	chr2-CP3,chr2:49999000-50001000	chr2-CP3,chr2:49990000-50010000	chr2-CP3,chr2:49900000-50100000	chr2-CP3,chr2:49800000-50200000
chr2-CP4	70000000	CP4	chr2	69000000	71000000	2000001	.	chr2-CP4,chr2:69999000-70001000	chr2-CP4,chr2:69990000-70010000	chr2-CP4,chr2:69900000-70100000	chr2-CP4,chr2:69800000-70200000
chr2-CQ1	101326171	CQ1	chr2	100326171	102326171	2000001	.	chr2-CQ1,chr2:101325171-101327171	chr2-CQ1,chr2:101316171-101336171	chr2-CQ1,chr2:101226171-101426171	chr2-CQ1,chr2:101126171-101526171
chr2-CQ2	121326171	CQ2	chr2	120326171	122326171	2000001	.	chr2-CQ2,chr2:121325171-121327171	chr2-CQ2,chr2:121316171-121336171	chr2-CQ2,chr2:121226171-121426171	chr2-CQ2,chr2:121126171-121526171
chr2-CQ3	141326171	CQ3	chr2	140326171	142326171	2000001	.	chr2-CQ3,chr2:141325171-141327171	chr2-CQ3,chr2:141316171-141336171	chr2-CQ3,chr2:141226171-141426171	chr2-CQ3,chr2:141126171-141526171
chr2-CQ4	161326171	CQ4	chr2	160326171	162326171	2000001	.	chr2-CQ4,chr2:161325171-161327171	chr2-CQ4,chr2:161316171-161336171	chr2-CQ4,chr2:161226171-161426171	chr2-CQ4,chr2:161126171-161526171
chr2-CQ5	181326171	CQ5	chr2	180326171	182326171	2000001	.	chr2-CQ5,chr2:181325171-181327171	chr2-CQ5,chr2:181316171-181336171	chr2-CQ5,chr2:181226171-181426171	chr2-CQ5,chr2:181126171-181526171
chr2-CQ6	201326171	CQ6	chr2	200326171	202326171	2000001	.	chr2-CQ6,chr2:201325171-201327171	chr2-CQ6,chr2:201316171-201336171	chr2-CQ6,chr2:201226171-201426171	chr2-CQ6,chr2:201126171-201526171
chr2-CQ7	221326171	CQ7	chr2	220326171	222326171	2000001	.	chr2-CQ7,chr2:221325171-221327171	chr2-CQ7,chr2:221316171-221336171	chr2-CQ7,chr2:221226171-221426171	chr2-CQ7,chr2:221126171-221526171
chr3-AP0	1	AP0	chr3	1	200001	200001	.	chr3-AP0,chr3:1-1001	chr3-AP0,chr3:1-10001	chr3-AP0,chr3:1-100001	chr3-AP0,chr3:1-200001
chr3-AP1	1000000	AP1	chr3	800000	1200000	400001	.	chr3-AP1,chr3:999000-1001000	chr3-AP1,chr3:990000-1010000	chr3-AP1,chr3:900000-1100000	chr3-AP1,chr3:800000-1200000
chr3-AP2	2000000	AP2	chr3	1800000	2200000	400001	.	chr3-AP2,chr3:1999000-2001000	chr3-AP2,chr3:1990000-2010000	chr3-AP2,chr3:1900000-2100000	chr3-AP2,chr3:1800000-2200000
chr3-AP3	3000000	AP3	chr3	2800000	3200000	400001	.	chr3-AP3,chr3:2999000-3001000	chr3-AP3,chr3:2990000-3010000	chr3-AP3,chr3:2900000-3100000	chr3-AP3,chr3:2800000-3200000
chr3-AP5	5000000	AP5	chr3	4800000	5200000	400001	.	chr3-AP5,chr3:4999000-5001000	chr3-AP5,chr3:4990000-5010000	chr3-AP5,chr3:4900000-5100000	chr3-AP5,chr3:4800000-5200000
chr3-AQ0	198022430	AQ0	chr3	197822430	198022430	200001	可用3q0M	chr3-AQ0,chr3:198021430-198023430	chr3-AQ0,chr3:198012430-198032430	chr3-AQ0,chr3:197922430-198122430	chr3-AQ0,chr3:197822430-198022430
chr3-AQ1	197022430	AQ1	chr3	196822430	197222430	400001	.	chr3-AQ1,chr3:197021430-197023430	chr3-AQ1,chr3:197012430-197032430	chr3-AQ1,chr3:196922430-197122430	chr3-AQ1,chr3:196822430-197222430
chr3-AQ2	196022430	AQ2	chr3	195822430	196222430	400001	.	chr3-AQ2,chr3:196021430-196023430	chr3-AQ2,chr3:196012430-196032430	chr3-AQ2,chr3:195922430-196122430	chr3-AQ2,chr3:195822430-196222430
chr3-AQ3	195022430	AQ3	chr3	194822430	195222430	400001	.	chr3-AQ3,chr3:195021430-195023430	chr3-AQ3,chr3:195012430-195032430	chr3-AQ3,chr3:194922430-195122430	chr3-AQ3,chr3:194822430-195222430
chr3-AQ5	193022430	AQ5	chr3	192822430	193222430	400001	.	chr3-AQ5,chr3:193021430-193023430	chr3-AQ5,chr3:193012430-193032430	chr3-AQ5,chr3:192922430-193122430	chr3-AQ5,chr3:192822430-193222430
chr3-BP1	89504854	BP1	chr3	89304854	89704854	400001	.	chr3-BP1,chr3:89503854-89505854	chr3-BP1,chr3:89494854-89514854	chr3-BP1,chr3:89404854-89604854	chr3-BP1,chr3:89304854-89704854
chr3-BP0	90504854	BP0	chr3	90304854	90704854	400001	可用3p90M	chr3-BP0,chr3:90503854-90505854	chr3-BP0,chr3:90494854-90514854	chr3-BP0,chr3:90404854-90604854	chr3-BP0,chr3:90304854-90704854
chr3-BQ0	93504854	BQ0	chr3	93304854	93704854	400001	.	chr3-BQ0,chr3:93503854-93505854	chr3-BQ0,chr3:93494854-93514854	chr3-BQ0,chr3:93404854-93604854	chr3-BQ0,chr3:93304854-93704854
chr3-BQ1	94504854	BQ1	chr3	94304854	94704854	400001	.	chr3-BQ1,chr3:94503854-94505854	chr3-BQ1,chr3:94494854-94514854	chr3-BQ1,chr3:94404854-94604854	chr3-BQ1,chr3:94304854-94704854
chr3-CP1	10000000	CP1	chr3	9000000	11000000	2000001	.	chr3-CP1,chr3:9999000-10001000	chr3-CP1,chr3:9990000-10010000	chr3-CP1,chr3:9900000-10100000	chr3-CP1,chr3:9800000-10200000
chr3-CP2	30000000	CP2	chr3	29000000	31000000	2000001	.	chr3-CP2,chr3:29999000-30001000	chr3-CP2,chr3:29990000-30010000	chr3-CP2,chr3:29900000-30100000	chr3-CP2,chr3:29800000-30200000
chr3-CP3	50000000	CP3	chr3	49000000	51000000	2000001	.	chr3-CP3,chr3:49999000-50001000	chr3-CP3,chr3:49990000-50010000	chr3-CP3,chr3:49900000-50100000	chr3-CP3,chr3:49800000-50200000
chr3-CP4	70000000	CP4	chr3	69000000	71000000	2000001	.	chr3-CP4,chr3:69999000-70001000	chr3-CP4,chr3:69990000-70010000	chr3-CP4,chr3:69900000-70100000	chr3-CP4,chr3:69800000-70200000
chr3-CQ1	99504854	CQ1	chr3	98504854	100504854	2000001	.	chr3-CQ1,chr3:99503854-99505854	chr3-CQ1,chr3:99494854-99514854	chr3-CQ1,chr3:99404854-99604854	chr3-CQ1,chr3:99304854-99704854
chr3-CQ2	119504854	CQ2	chr3	118504854	120504854	2000001	.	chr3-CQ2,chr3:119503854-119505854	chr3-CQ2,chr3:119494854-119514854	chr3-CQ2,chr3:119404854-119604854	chr3-CQ2,chr3:119304854-119704854
chr3-CQ3	139504854	CQ3	chr3	138504854	140504854	2000001	.	chr3-CQ3,chr3:139503854-139505854	chr3-CQ3,chr3:139494854-139514854	chr3-CQ3,chr3:139404854-139604854	chr3-CQ3,chr3:139304854-139704854
chr3-CQ4	159504854	CQ4	chr3	158504854	160504854	2000001	.	chr3-CQ4,chr3:159503854-159505854	chr3-CQ4,chr3:159494854-159514854	chr3-CQ4,chr3:159404854-159604854	chr3-CQ4,chr3:159304854-159704854
chr3-CQ5	179504854	CQ5	chr3	178504854	180504854	2000001	.	chr3-CQ5,chr3:179503854-179505854	chr3-CQ5,chr3:179494854-179514854	chr3-CQ5,chr3:179404854-179604854	chr3-CQ5,chr3:179304854-179704854
chr4-AP0	1	AP0	chr4	1	200001	200001	.	chr4-AP0,chr4:1-1001	chr4-AP0,chr4:1-10001	chr4-AP0,chr4:1-100001	chr4-AP0,chr4:1-200001
chr4-AP1	1000000	AP1	chr4	800000	1200000	400001	.	chr4-AP1,chr4:999000-1001000	chr4-AP1,chr4:990000-1010000	chr4-AP1,chr4:900000-1100000	chr4-AP1,chr4:800000-1200000
chr4-AP2	2000000	AP2	chr4	1800000	2200000	400001	.	chr4-AP2,chr4:1999000-2001000	chr4-AP2,chr4:1990000-2010000	chr4-AP2,chr4:1900000-2100000	chr4-AP2,chr4:1800000-2200000
chr4-AP3	3000000	AP3	chr4	2800000	3200000	400001	.	chr4-AP3,chr4:2999000-3001000	chr4-AP3,chr4:2990000-3010000	chr4-AP3,chr4:2900000-3100000	chr4-AP3,chr4:2800000-3200000
chr4-AP5	5000000	AP5	chr4	4800000	5200000	400001	.	chr4-AP5,chr4:4999000-5001000	chr4-AP5,chr4:4990000-5010000	chr4-AP5,chr4:4900000-5100000	chr4-AP5,chr4:4800000-5200000
chr4-AQ0	191154276	AQ0	chr4	190954276	191154276	200001	可用4q0M	chr4-AQ0,chr4:191153276-191155276	chr4-AQ0,chr4:191144276-191164276	chr4-AQ0,chr4:191054276-191254276	chr4-AQ0,chr4:190954276-191154276
chr4-AQ1	190154276	AQ1	chr4	189954276	190354276	400001	.	chr4-AQ1,chr4:190153276-190155276	chr4-AQ1,chr4:190144276-190164276	chr4-AQ1,chr4:190054276-190254276	chr4-AQ1,chr4:189954276-190354276
chr4-AQ2	189154276	AQ2	chr4	188954276	189354276	400001	.	chr4-AQ2,chr4:189153276-189155276	chr4-AQ2,chr4:189144276-189164276	chr4-AQ2,chr4:189054276-189254276	chr4-AQ2,chr4:188954276-189354276
chr4-AQ3	188154276	AQ3	chr4	187954276	188354276	400001	.	chr4-AQ3,chr4:188153276-188155276	chr4-AQ3,chr4:188144276-188164276	chr4-AQ3,chr4:188054276-188254276	chr4-AQ3,chr4:187954276-188354276
chr4-AQ5	186154276	AQ5	chr4	185954276	186354276	400001	.	chr4-AQ5,chr4:186153276-186155276	chr4-AQ5,chr4:186144276-186164276	chr4-AQ5,chr4:186054276-186254276	chr4-AQ5,chr4:185954276-186354276
chr4-BP1	48660117	BP1	chr4	48460117	48860117	400001	.	chr4-BP1,chr4:48659117-48661117	chr4-BP1,chr4:48650117-48670117	chr4-BP1,chr4:48560117-48760117	chr4-BP1,chr4:48460117-48860117
chr4-BP0	49660117	BP0	chr4	49460117	49860117	400001	可用4p49M	chr4-BP0,chr4:49659117-49661117	chr4-BP0,chr4:49650117-49670117	chr4-BP0,chr4:49560117-49760117	chr4-BP0,chr4:49460117-49860117
chr4-BQ0	52660117	BQ0	chr4	52460117	52860117	400001	.	chr4-BQ0,chr4:52659117-52661117	chr4-BQ0,chr4:52650117-52670117	chr4-BQ0,chr4:52560117-52760117	chr4-BQ0,chr4:52460117-52860117
chr4-BQ1	53660117	BQ1	chr4	53460117	53860117	400001	.	chr4-BQ1,chr4:53659117-53661117	chr4-BQ1,chr4:53650117-53670117	chr4-BQ1,chr4:53560117-53760117	chr4-BQ1,chr4:53460117-53860117
chr4-CP1	10000000	CP1	chr4	9000000	11000000	2000001	.	chr4-CP1,chr4:9999000-10001000	chr4-CP1,chr4:9990000-10010000	chr4-CP1,chr4:9900000-10100000	chr4-CP1,chr4:9800000-10200000
chr4-CP2	30000000	CP2	chr4	29000000	31000000	2000001	.	chr4-CP2,chr4:29999000-30001000	chr4-CP2,chr4:29990000-30010000	chr4-CP2,chr4:29900000-30100000	chr4-CP2,chr4:29800000-30200000
chr4-CQ1	58660117	CQ1	chr4	57660117	59660117	2000001	.	chr4-CQ1,chr4:58659117-58661117	chr4-CQ1,chr4:58650117-58670117	chr4-CQ1,chr4:58560117-58760117	chr4-CQ1,chr4:58460117-58860117
chr4-CQ2	78660117	CQ2	chr4	77660117	79660117	2000001	.	chr4-CQ2,chr4:78659117-78661117	chr4-CQ2,chr4:78650117-78670117	chr4-CQ2,chr4:78560117-78760117	chr4-CQ2,chr4:78460117-78860117
chr4-CQ3	98660117	CQ3	chr4	97660117	99660117	2000001	.	chr4-CQ3,chr4:98659117-98661117	chr4-CQ3,chr4:98650117-98670117	chr4-CQ3,chr4:98560117-98760117	chr4-CQ3,chr4:98460117-98860117
chr4-CQ4	118660117	CQ4	chr4	117660117	119660117	2000001	.	chr4-CQ4,chr4:118659117-118661117	chr4-CQ4,chr4:118650117-118670117	chr4-CQ4,chr4:118560117-118760117	chr4-CQ4,chr4:118460117-118860117
chr4-CQ5	138660117	CQ5	chr4	137660117	139660117	2000001	.	chr4-CQ5,chr4:138659117-138661117	chr4-CQ5,chr4:138650117-138670117	chr4-CQ5,chr4:138560117-138760117	chr4-CQ5,chr4:138460117-138860117
chr4-CQ6	158660117	CQ6	chr4	157660117	159660117	2000001	.	chr4-CQ6,chr4:158659117-158661117	chr4-CQ6,chr4:158650117-158670117	chr4-CQ6,chr4:158560117-158760117	chr4-CQ6,chr4:158460117-158860117
chr4-CQ7	178660117	CQ7	chr4	177660117	179660117	2000001	.	chr4-CQ7,chr4:178659117-178661117	chr4-CQ7,chr4:178650117-178670117	chr4-CQ7,chr4:178560117-178760117	chr4-CQ7,chr4:178460117-178860117
chr5-AP0	1	AP0	chr5	1	200001	200001	.	chr5-AP0,chr5:1-1001	chr5-AP0,chr5:1-10001	chr5-AP0,chr5:1-100001	chr5-AP0,chr5:1-200001
chr5-AP1	1000000	AP1	chr5	800000	1200000	400001	.	chr5-AP1,chr5:999000-1001000	chr5-AP1,chr5:990000-1010000	chr5-AP1,chr5:900000-1100000	chr5-AP1,chr5:800000-1200000
chr5-AP2	2000000	AP2	chr5	1800000	2200000	400001	.	chr5-AP2,chr5:1999000-2001000	chr5-AP2,chr5:1990000-2010000	chr5-AP2,chr5:1900000-2100000	chr5-AP2,chr5:1800000-2200000
chr5-AP3	3000000	AP3	chr5	2800000	3200000	400001	.	chr5-AP3,chr5:2999000-3001000	chr5-AP3,chr5:2990000-3010000	chr5-AP3,chr5:2900000-3100000	chr5-AP3,chr5:2800000-3200000
chr5-AP5	5000000	AP5	chr5	4800000	5200000	400001	.	chr5-AP5,chr5:4999000-5001000	chr5-AP5,chr5:4990000-5010000	chr5-AP5,chr5:4900000-5100000	chr5-AP5,chr5:4800000-5200000
chr5-AQ0	180915260	AQ0	chr5	180715260	180915260	200001	可用5q0M	chr5-AQ0,chr5:180914260-180916260	chr5-AQ0,chr5:180905260-180925260	chr5-AQ0,chr5:180815260-181015260	chr5-AQ0,chr5:180715260-180915260
chr5-AQ1	179915260	AQ1	chr5	179715260	180115260	400001	.	chr5-AQ1,chr5:179914260-179916260	chr5-AQ1,chr5:179905260-179925260	chr5-AQ1,chr5:179815260-180015260	chr5-AQ1,chr5:179715260-180115260
chr5-AQ2	178915260	AQ2	chr5	178715260	179115260	400001	.	chr5-AQ2,chr5:178914260-178916260	chr5-AQ2,chr5:178905260-178925260	chr5-AQ2,chr5:178815260-179015260	chr5-AQ2,chr5:178715260-179115260
chr5-AQ3	177915260	AQ3	chr5	177715260	178115260	400001	.	chr5-AQ3,chr5:177914260-177916260	chr5-AQ3,chr5:177905260-177925260	chr5-AQ3,chr5:177815260-178015260	chr5-AQ3,chr5:177715260-178115260
chr5-AQ5	175915260	AQ5	chr5	175715260	176115260	400001	.	chr5-AQ5,chr5:175914260-175916260	chr5-AQ5,chr5:175905260-175925260	chr5-AQ5,chr5:175815260-176015260	chr5-AQ5,chr5:175715260-176115260
chr5-BP1	45405641	BP1	chr5	45205641	45605641	400001	.	chr5-BP1,chr5:45404641-45406641	chr5-BP1,chr5:45395641-45415641	chr5-BP1,chr5:45305641-45505641	chr5-BP1,chr5:45205641-45605641
chr5-BP0	46405641	BP0	chr5	46205641	46605641	400001	可用5p46M	chr5-BP0,chr5:46404641-46406641	chr5-BP0,chr5:46395641-46415641	chr5-BP0,chr5:46305641-46505641	chr5-BP0,chr5:46205641-46605641
chr5-BQ0	49405641	BQ0	chr5	49205641	49605641	400001	.	chr5-BQ0,chr5:49404641-49406641	chr5-BQ0,chr5:49395641-49415641	chr5-BQ0,chr5:49305641-49505641	chr5-BQ0,chr5:49205641-49605641
chr5-BQ1	50405641	BQ1	chr5	50205641	50605641	400001	.	chr5-BQ1,chr5:50404641-50406641	chr5-BQ1,chr5:50395641-50415641	chr5-BQ1,chr5:50305641-50505641	chr5-BQ1,chr5:50205641-50605641
chr5-CP1	10000000	CP1	chr5	9000000	11000000	2000001	.	chr5-CP1,chr5:9999000-10001000	chr5-CP1,chr5:9990000-10010000	chr5-CP1,chr5:9900000-10100000	chr5-CP1,chr5:9800000-10200000
chr5-CP2	30000000	CP2	chr5	29000000	31000000	2000001	.	chr5-CP2,chr5:29999000-30001000	chr5-CP2,chr5:29990000-30010000	chr5-CP2,chr5:29900000-30100000	chr5-CP2,chr5:29800000-30200000
chr5-CQ1	55405641	CQ1	chr5	54405641	56405641	2000001	.	chr5-CQ1,chr5:55404641-55406641	chr5-CQ1,chr5:55395641-55415641	chr5-CQ1,chr5:55305641-55505641	chr5-CQ1,chr5:55205641-55605641
chr5-CQ2	75405641	CQ2	chr5	74405641	76405641	2000001	.	chr5-CQ2,chr5:75404641-75406641	chr5-CQ2,chr5:75395641-75415641	chr5-CQ2,chr5:75305641-75505641	chr5-CQ2,chr5:75205641-75605641
chr5-CQ3	95405641	CQ3	chr5	94405641	96405641	2000001	.	chr5-CQ3,chr5:95404641-95406641	chr5-CQ3,chr5:95395641-95415641	chr5-CQ3,chr5:95305641-95505641	chr5-CQ3,chr5:95205641-95605641
chr5-CQ4	115405641	CQ4	chr5	114405641	116405641	2000001	.	chr5-CQ4,chr5:115404641-115406641	chr5-CQ4,chr5:115395641-115415641	chr5-CQ4,chr5:115305641-115505641	chr5-CQ4,chr5:115205641-115605641
chr5-CQ5	135405641	CQ5	chr5	134405641	136405641	2000001	.	chr5-CQ5,chr5:135404641-135406641	chr5-CQ5,chr5:135395641-135415641	chr5-CQ5,chr5:135305641-135505641	chr5-CQ5,chr5:135205641-135605641
